phase,phase_iteration,global_iteration,algorithm,root,nproc,message_size_bytes,time_sum_sec,avg_latency_sec,min_time_sec,max_time_sec,correct
warmup,0,0,binomial,0,2048,2,1.612064825,0.000787141,0.000034675,0.002163534,1
warmup,1,1,binomial,0,2048,2,0.405308417,0.000197905,0.000012524,0.000302006,1
warmup,2,2,binomial,0,2048,2,0.431864357,0.000210871,0.000007554,0.000353751,1
warmup,3,3,binomial,0,2048,2,0.387409346,0.000189165,0.000007955,0.000306172,1
warmup,4,4,binomial,0,2048,2,0.406666864,0.000198568,0.000011432,0.000326480,1
warmup,5,5,binomial,0,2048,2,0.378166210,0.000184651,0.000007424,0.000302535,1
warmup,6,6,binomial,0,2048,2,0.382897729,0.000186962,0.000007675,0.000322342,1
warmup,7,7,binomial,0,2048,2,0.357793302,0.000174704,0.000007514,0.000291634,1
warmup,8,8,binomial,0,2048,2,0.373760361,0.000182500,0.000007615,0.000305565,1
warmup,9,9,binomial,0,2048,2,0.352545968,0.000172142,0.000007734,0.000278974,1
warmup,10,10,binomial,0,2048,2,0.368306560,0.000179837,0.000007554,0.000283553,1
warmup,11,11,binomial,0,2048,2,0.325168265,0.000158774,0.000007704,0.000259528,1
warmup,12,12,binomial,0,2048,2,0.378968025,0.000185043,0.000007694,0.000292581,1
warmup,13,13,binomial,0,2048,2,0.351253413,0.000171510,0.000011872,0.000266388,1
warmup,14,14,binomial,0,2048,2,0.384087986,0.000187543,0.000008025,0.000283394,1
warmup,15,15,binomial,0,2048,2,0.355321915,0.000173497,0.000007855,0.000263856,1
warmup,16,16,binomial,0,2048,2,0.402885662,0.000196722,0.000007234,0.000293302,1
warmup,17,17,binomial,0,2048,2,0.353771620,0.000172740,0.000007534,0.000255429,1
warmup,18,18,binomial,0,2048,2,0.386645120,0.000188792,0.000010791,0.000282571,1
warmup,19,19,binomial,0,2048,2,0.373297153,0.000182274,0.000007825,0.000264908,1
actual,0,20,binomial,0,2048,2,0.378706331,0.000184915,0.000007795,0.000279545,1
actual,1,21,binomial,0,2048,2,0.346642197,0.000169259,0.000007403,0.000264298,1
