phase,phase_iteration,global_iteration,algorithm,root,nproc,message_size_bytes,time_sum_sec,avg_latency_sec,min_time_sec,max_time_sec,correct
warmup,0,0,circ_graph,0,2048,2,1.818903682,0.000888137,0.000350648,0.002198510,1
warmup,1,1,circ_graph,0,2048,2,0.485145971,0.000236888,0.000023033,0.001342583,1
warmup,2,2,circ_graph,0,2048,2,0.446763409,0.000218146,0.000028553,0.001643610,1
warmup,3,3,circ_graph,0,2048,2,0.372239895,0.000181758,0.000030708,0.001233143,1
warmup,4,4,circ_graph,0,2048,2,0.436611347,0.000213189,0.000031599,0.001352501,1
warmup,5,5,circ_graph,0,2048,2,0.384473081,0.000187731,0.000035066,0.001255155,1
warmup,6,6,circ_graph,0,2048,2,0.466931690,0.000227994,0.000035216,0.001279535,1
warmup,7,7,circ_graph,0,2048,2,0.395204510,0.000192971,0.000027492,0.001258973,1
warmup,8,8,circ_graph,0,2048,2,0.421600014,0.000205859,0.000039104,0.000293468,1
warmup,9,9,circ_graph,0,2048,2,0.380270525,0.000185679,0.000024717,0.000305994,1
warmup,10,10,circ_graph,0,2048,2,0.403364807,0.000196955,0.000048922,0.000325953,1
warmup,11,11,circ_graph,0,2048,2,0.374432842,0.000182829,0.000023895,0.000303219,1
warmup,12,12,circ_graph,0,2048,2,0.366478487,0.000178945,0.000024936,0.000263205,1
warmup,13,13,circ_graph,0,2048,2,0.356275614,0.000173963,0.000026339,0.001220344,1
warmup,14,14,circ_graph,0,2048,2,0.356123945,0.000173889,0.000027462,0.001189092,1
warmup,15,15,circ_graph,0,2048,2,0.369473008,0.000180407,0.000022502,0.001190713,1
warmup,16,16,circ_graph,0,2048,2,0.363261829,0.000177374,0.000031840,0.000312687,1
warmup,17,17,circ_graph,0,2048,2,0.355598679,0.000173632,0.000028023,0.001256636,1
warmup,18,18,circ_graph,0,2048,2,0.356745161,0.000174192,0.000030878,0.000306156,1
warmup,19,19,circ_graph,0,2048,2,0.365641817,0.000178536,0.000023514,0.000301977,1
