phase,phase_iteration,global_iteration,algorithm,root,nproc,message_size_bytes,time_sum_sec,avg_latency_sec,min_time_sec,max_time_sec,correct
warmup,0,0,nb,0,2048,2,2.804724689,0.001369494,0.000369234,0.002600436,1
warmup,1,1,nb,0,2048,2,0.396819008,0.000193759,0.000016691,0.000303440,1
warmup,2,2,nb,0,2048,2,0.372478789,0.000181874,0.000003476,0.000326864,1
warmup,3,3,nb,0,2048,2,0.354731161,0.000173209,0.000008345,0.000259437,1
warmup,4,4,nb,0,2048,2,0.389077173,0.000189979,0.000003176,0.000315063,1
warmup,5,5,nb,0,2048,2,0.387156230,0.000189041,0.000004789,0.000305675,1
warmup,6,6,nb,0,2048,2,0.436427594,0.000213099,0.000011181,0.000344948,1
warmup,7,7,nb,0,2048,2,0.368748769,0.000180053,0.000011372,0.000281488,1
warmup,8,8,nb,0,2048,2,0.485818975,0.000237216,0.000011091,0.000379494,1
warmup,9,9,nb,0,2048,2,0.341582294,0.000166788,0.000011331,0.000264798,1
warmup,10,10,nb,0,2048,2,0.286329840,0.000139809,0.000002845,0.000248949,1
warmup,11,11,nb,0,2048,2,0.340323777,0.000166174,0.000010700,0.000267263,1
warmup,12,12,nb,0,2048,2,0.326173563,0.000159264,0.000003006,0.000266331,1
warmup,13,13,nb,0,2048,2,0.330791107,0.000161519,0.000006231,0.000265458,1
warmup,14,14,nb,0,2048,2,0.337739540,0.000164912,0.000002675,0.000260078,1
warmup,15,15,nb,0,2048,2,0.405439098,0.000197968,0.000011031,0.000293593,1
warmup,16,16,nb,0,2048,2,0.338954074,0.000165505,0.000002645,0.000274946,1
warmup,17,17,nb,0,2048,2,0.344304801,0.000168118,0.000004118,0.000268534,1
warmup,18,18,nb,0,2048,2,0.323510440,0.000157964,0.000002675,0.000259238,1
warmup,19,19,nb,0,2048,2,0.346627658,0.000169252,0.000009988,0.000251774,1
actual,0,20,nb,0,2048,2,0.319568629,0.000156039,0.000002845,0.000256613,1
actual,1,21,nb,0,2048,2,0.316170193,0.000154380,0.000004227,0.000247566,1
actual,2,22,nb,0,2048,2,0.327861636,0.000160089,0.000002855,0.000260278,1
actual,3,23,nb,0,2048,2,0.342294462,0.000167136,0.000010861,0.000263655,1
actual,4,24,nb,0,2048,2,0.322687813,0.000157562,0.000002665,0.000249720,1
actual,5,25,nb,0,2048,2,0.359430975,0.000175503,0.000011141,0.000275068,1
actual,6,26,nb,0,2048,2,0.326668960,0.000159506,0.000002665,0.000253556,1
actual,7,27,nb,0,2048,2,0.337187442,0.000164642,0.000008095,0.000256943,1
actual,8,28,nb,0,2048,2,0.339987471,0.000166010,0.000002896,0.000259216,1
actual,9,29,nb,0,2048,2,0.333725340,0.000162952,0.000006412,0.000251783,1
actual,10,30,nb,0,2048,2,0.297505775,0.000145266,0.000002695,0.000251603,1
actual,11,31,nb,0,2048,2,0.339185966,0.000165618,0.000009017,0.000253335,1
actual,12,32,nb,0,2048,2,0.360835538,0.000176189,0.000003066,0.000272642,1
actual,13,33,nb,0,2048,2,0.321990768,0.000157222,0.000004939,0.000259809,1
actual,14,34,nb,0,2048,2,0.340951663,0.000166480,0.000002775,0.000259459,1
actual,15,35,nb,0,2048,2,0.322330506,0.000157388,0.000003006,0.000248176,1
actual,16,36,nb,0,2048,2,0.321748612,0.000157104,0.000002745,0.000267083,1
actual,17,37,nb,0,2048,2,0.330412276,0.000161334,0.000009778,0.000251403,1
actual,18,38,nb,0,2048,2,0.347027346,0.000169447,0.000003056,0.000284406,1
actual,19,39,nb,0,2048,2,0.335340175,0.000163740,0.000010650,0.000249098,1
warmup,0,0,nb,0,2048,3,0.344151863,0.000168043,0.000002595,0.000270719,1
warmup,1,1,nb,0,2048,3,0.335089016,0.000163618,0.000005149,0.000250440,1
warmup,2,2,nb,0,2048,3,0.373749347,0.000182495,0.000002605,0.000294955,1
warmup,3,3,nb,0,2048,3,0.343694758,0.000167820,0.000003898,0.000259618,1
warmup,4,4,nb,0,2048,3,0.354744115,0.000173215,0.000002805,0.000277372,1
warmup,5,5,nb,0,2048,3,0.348539570,0.000170185,0.000010670,0.000268906,1
warmup,6,6,nb,0,2048,3,0.335384264,0.000163762,0.000002785,0.000257904,1
warmup,7,7,nb,0,2048,3,0.332707768,0.000162455,0.000004017,0.000252556,1
warmup,8,8,nb,0,2048,3,0.367507499,0.000179447,0.000003858,0.000292601,1
warmup,9,9,nb,0,2048,3,0.312334375,0.000152507,0.000002765,0.000244580,1
warmup,10,10,nb,0,2048,3,0.417407446,0.000203812,0.000003296,0.000303231,1
warmup,11,11,nb,0,2048,3,0.395745500,0.000193235,0.000003958,0.000462180,1
warmup,12,12,nb,0,2048,3,0.323974411,0.000158191,0.000002785,0.000252966,1
warmup,13,13,nb,0,2048,3,0.319839692,0.000156172,0.000003897,0.000244899,1
warmup,14,14,nb,0,2048,3,0.345283747,0.000168596,0.000002785,0.000277643,1
warmup,15,15,nb,0,2048,3,0.330547286,0.000161400,0.000005109,0.000262614,1
warmup,16,16,nb,0,2048,3,0.331985388,0.000162102,0.000002645,0.000265168,1
warmup,17,17,nb,0,2048,3,0.328382650,0.000160343,0.000006041,0.000260070,1
warmup,18,18,nb,0,2048,3,0.333377254,0.000162782,0.000002725,0.000279085,1
warmup,19,19,nb,0,2048,3,0.317574333,0.000155066,0.000007955,0.000248357,1
actual,0,20,nb,0,2048,3,0.332958897,0.000162578,0.000002675,0.000272032,1
actual,1,21,nb,0,2048,3,0.328102954,0.000160207,0.000010640,0.000251401,1
actual,2,22,nb,0,2048,3,0.336214267,0.000164167,0.000002685,0.000268155,1
actual,3,23,nb,0,2048,3,0.311066652,0.000151888,0.000004338,0.000235102,1
actual,4,24,nb,0,2048,3,0.339255585,0.000165652,0.000002705,0.000267262,1
actual,5,25,nb,0,2048,3,0.334211480,0.000163189,0.000008086,0.000255921,1
actual,6,26,nb,0,2048,3,0.373261122,0.000182256,0.000002685,0.000283604,1
actual,7,27,nb,0,2048,3,0.320754233,0.000156618,0.000003917,0.000252895,1
actual,8,28,nb,0,2048,3,0.353805545,0.000172757,0.000002685,0.000274766,1
actual,9,29,nb,0,2048,3,0.336714525,0.000164411,0.000012253,0.000259068,1
actual,10,30,nb,0,2048,3,0.406980881,0.000198721,0.000002886,0.000355016,1
actual,11,31,nb,0,2048,3,0.330368713,0.000161313,0.000004258,0.000256122,1
actual,12,32,nb,0,2048,3,0.314833335,0.000153727,0.000002755,0.000246745,1
actual,13,33,nb,0,2048,3,0.349049408,0.000170434,0.000003977,0.000264417,1
actual,14,34,nb,0,2048,3,0.341086737,0.000166546,0.000002515,0.000277913,1
actual,15,35,nb,0,2048,3,0.370249555,0.000180786,0.000005851,0.000378229,1
actual,16,36,nb,0,2048,3,0.310855780,0.000151785,0.000002725,0.000249790,1
actual,17,37,nb,0,2048,3,0.328508291,0.000160404,0.000006282,0.000259378,1
actual,18,38,nb,0,2048,3,0.315441169,0.000154024,0.000002595,0.000259358,1
actual,19,39,nb,0,2048,3,0.346927317,0.000169398,0.000010129,0.000260970,1
warmup,0,0,nb,0,2048,4,0.339668288,0.000165854,0.000002715,0.000272963,1
warmup,1,1,nb,0,2048,4,0.331406714,0.000161820,0.000010510,0.000281429,1
warmup,2,2,nb,0,2048,4,0.366999441,0.000179199,0.000002976,0.000289134,1
warmup,3,3,nb,0,2048,4,0.346381017,0.000169131,0.000004028,0.000284705,1
warmup,4,4,nb,0,2048,4,0.335485344,0.000163811,0.000002895,0.000261813,1
warmup,5,5,nb,0,2048,4,0.324508628,0.000158451,0.000004599,0.000249700,1
warmup,6,6,nb,0,2048,4,0.357100551,0.000174366,0.000004078,0.000277432,1
warmup,7,7,nb,0,2048,4,0.384891850,0.000187935,0.000010990,0.000290708,1
warmup,8,8,nb,0,2048,4,0.360800227,0.000176172,0.000002775,0.000267834,1
warmup,9,9,nb,0,2048,4,0.340383343,0.000166203,0.000003978,0.000250791,1
warmup,10,10,nb,0,2048,4,0.339712623,0.000165875,0.000002866,0.000267283,1
warmup,11,11,nb,0,2048,4,0.335094367,0.000163620,0.000010259,0.000260079,1
warmup,12,12,nb,0,2048,4,0.349587570,0.000170697,0.000002946,0.000260620,1
warmup,13,13,nb,0,2048,4,0.338516522,0.000165291,0.000006151,0.000260910,1
warmup,14,14,nb,0,2048,4,0.381263746,0.000186164,0.000002955,0.000304052,1
warmup,15,15,nb,0,2048,4,0.340152492,0.000166090,0.000009989,0.000269847,1
warmup,16,16,nb,0,2048,4,0.324774974,0.000158582,0.000002775,0.000259749,1
warmup,17,17,nb,0,2048,4,0.347608230,0.000169731,0.000008095,0.000252564,1
warmup,18,18,nb,0,2048,4,0.341486245,0.000166741,0.000002665,0.000278605,1
warmup,19,19,nb,0,2048,4,0.351916615,0.000171834,0.000006262,0.000263675,1
actual,0,20,nb,0,2048,4,0.314666165,0.000153646,0.000002736,0.000261452,1
actual,1,21,nb,0,2048,4,0.343755966,0.000167850,0.000004138,0.000259409,1
actual,2,22,nb,0,2048,4,0.348375702,0.000170105,0.000003877,0.000272874,1
