phase,phase_iteration,global_iteration,algorithm,root,nproc,message_size_bytes,time_sum_sec,avg_latency_sec,min_time_sec,max_time_sec,correct
warmup,0,0,scatter_recursive_doubling_allgather,0,2048,2,0.771851709,0.000376881,0.000228650,0.000480330,1
warmup,1,1,scatter_recursive_doubling_allgather,0,2048,2,0.862409458,0.000421098,0.000243927,0.001586727,1
warmup,2,2,scatter_recursive_doubling_allgather,0,2048,2,0.686582232,0.000335245,0.000233528,0.001346037,1
warmup,3,3,scatter_recursive_doubling_allgather,0,2048,2,0.718691408,0.000350924,0.000229581,0.000520179,1
warmup,4,4,scatter_recursive_doubling_allgather,0,2048,2,0.662665158,0.000323567,0.000217869,0.001363865,1
warmup,5,5,scatter_recursive_doubling_allgather,0,2048,2,0.708169063,0.000345786,0.000231514,0.001368325,1
warmup,6,6,scatter_recursive_doubling_allgather,0,2048,2,0.669940096,0.000327119,0.000233218,0.001328509,1
warmup,7,7,scatter_recursive_doubling_allgather,0,2048,2,0.754857389,0.000368583,0.000177493,0.000512931,1
warmup,8,8,scatter_recursive_doubling_allgather,0,2048,2,0.613807188,0.000299711,0.000191260,0.001321037,1
warmup,9,9,scatter_recursive_doubling_allgather,0,2048,2,0.646868192,0.000315854,0.000224662,0.001376731,1
warmup,10,10,scatter_recursive_doubling_allgather,0,2048,2,0.719579632,0.000351357,0.000178687,0.001506016,1
warmup,11,11,scatter_recursive_doubling_allgather,0,2048,2,0.743030283,0.000362808,0.000238859,0.000490270,1
warmup,12,12,scatter_recursive_doubling_allgather,0,2048,2,0.742832151,0.000362711,0.000258155,0.001527848,1
warmup,13,13,scatter_recursive_doubling_allgather,0,2048,2,0.650889394,0.000317817,0.000214522,0.001367089,1
warmup,14,14,scatter_recursive_doubling_allgather,0,2048,2,0.607136162,0.000296453,0.000196569,0.001368711,1
warmup,15,15,scatter_recursive_doubling_allgather,0,2048,2,0.603282160,0.000294571,0.000186330,0.001354152,1
warmup,16,16,scatter_recursive_doubling_allgather,0,2048,2,0.580522894,0.000283458,0.000185899,0.001338500,1
warmup,17,17,scatter_recursive_doubling_allgather,0,2048,2,0.679136025,0.000331609,0.000231495,0.001435798,1
warmup,18,18,scatter_recursive_doubling_allgather,0,2048,2,0.582493911,0.000284421,0.000198843,0.000430938,1
warmup,19,19,scatter_recursive_doubling_allgather,0,2048,2,0.642930625,0.000313931,0.000225824,0.001401063,1
actual,0,20,scatter_recursive_doubling_allgather,0,2048,2,0.638614494,0.000311823,0.000224602,0.000453941,1
actual,1,21,scatter_recursive_doubling_allgather,0,2048,2,0.680976393,0.000332508,0.000270887,0.001360308,1
actual,2,22,scatter_recursive_doubling_allgather,0,2048,2,0.689987317,0.000336908,0.000271268,0.001370837,1
actual,3,23,scatter_recursive_doubling_allgather,0,2048,2,0.634341263,0.000309737,0.000221415,0.000476590,1
actual,4,24,scatter_recursive_doubling_allgather,0,2048,2,0.696313248,0.000339997,0.000244688,0.001399960,1
actual,5,25,scatter_recursive_doubling_allgather,0,2048,2,0.641722827,0.000313341,0.000213140,0.000472938,1
actual,6,26,scatter_recursive_doubling_allgather,0,2048,2,0.595259908,0.000290654,0.000194003,0.001368024,1
actual,7,27,scatter_recursive_doubling_allgather,0,2048,2,0.661534363,0.000323015,0.000223620,0.001358309,1
actual,8,28,scatter_recursive_doubling_allgather,0,2048,2,0.770275340,0.000376111,0.000228469,0.001450833,1
actual,9,29,scatter_recursive_doubling_allgather,0,2048,2,0.812558897,0.000396757,0.000277995,0.000530271,1
actual,10,30,scatter_recursive_doubling_allgather,0,2048,2,0.954782360,0.000466202,0.000227948,0.000574699,1
actual,11,31,scatter_recursive_doubling_allgather,0,2048,2,0.736098253,0.000359423,0.000284864,0.000488963,1
actual,12,32,scatter_recursive_doubling_allgather,0,2048,2,0.641731992,0.000313346,0.000204132,0.000443822,1
actual,13,33,scatter_recursive_doubling_allgather,0,2048,2,0.744439765,0.000363496,0.000274565,0.000520316,1
actual,14,34,scatter_recursive_doubling_allgather,0,2048,2,0.658678401,0.000321620,0.000235482,0.001344574,1
actual,15,35,scatter_recursive_doubling_allgather,0,2048,2,0.689239482,0.000336543,0.000264376,0.001357500,1
actual,16,36,scatter_recursive_doubling_allgather,0,2048,2,0.598994459,0.000292478,0.000197791,0.000434813,1
actual,17,37,scatter_recursive_doubling_allgather,0,2048,2,0.618036543,0.000301776,0.000194605,0.001388347,1
actual,18,38,scatter_recursive_doubling_allgather,0,2048,2,0.742001090,0.000362305,0.000283460,0.000483186,1
actual,19,39,scatter_recursive_doubling_allgather,0,2048,2,0.669425631,0.000326868,0.000228269,0.000500597,1
warmup,0,0,scatter_recursive_doubling_allgather,0,2048,3,0.598715575,0.000292342,0.000198913,0.000466484,1
warmup,1,1,scatter_recursive_doubling_allgather,0,2048,3,0.727249802,0.000355102,0.000253629,0.001419037,1
warmup,2,2,scatter_recursive_doubling_allgather,0,2048,3,0.684500389,0.000334229,0.000231685,0.000454695,1
warmup,3,3,scatter_recursive_doubling_allgather,0,2048,3,0.714389824,0.000348823,0.000265690,0.000564755,1
warmup,4,4,scatter_recursive_doubling_allgather,0,2048,3,0.635750485,0.000310425,0.000214032,0.000506881,1
warmup,5,5,scatter_recursive_doubling_allgather,0,2048,3,0.619212577,0.000302350,0.000204994,0.000486304,1
warmup,6,6,scatter_recursive_doubling_allgather,0,2048,3,0.577962839,0.000282208,0.000190988,0.000495199,1
warmup,7,7,scatter_recursive_doubling_allgather,0,2048,3,0.593316312,0.000289705,0.000193733,0.000429016,1
warmup,8,8,scatter_recursive_doubling_allgather,0,2048,3,0.611495903,0.000298582,0.000214492,0.001378280,1
warmup,9,9,scatter_recursive_doubling_allgather,0,2048,3,0.555289929,0.000271138,0.000170660,0.000429153,1
warmup,10,10,scatter_recursive_doubling_allgather,0,2048,3,0.606285595,0.000296038,0.000198984,0.000422325,1
warmup,11,11,scatter_recursive_doubling_allgather,0,2048,3,0.632452113,0.000308815,0.000226805,0.000585336,1
warmup,12,12,scatter_recursive_doubling_allgather,0,2048,3,0.573573572,0.000280065,0.000187662,0.000426470,1
warmup,13,13,scatter_recursive_doubling_allgather,0,2048,3,0.680793816,0.000332419,0.000233429,0.001365950,1
warmup,14,14,scatter_recursive_doubling_allgather,0,2048,3,0.586262801,0.000286261,0.000199565,0.000457599,1
warmup,15,15,scatter_recursive_doubling_allgather,0,2048,3,0.661878176,0.000323183,0.000224051,0.000477216,1
warmup,16,16,scatter_recursive_doubling_allgather,0,2048,3,0.609460281,0.000297588,0.000204012,0.000467777,1
warmup,17,17,scatter_recursive_doubling_allgather,0,2048,3,0.607485438,0.000296624,0.000198752,0.000481935,1
warmup,18,18,scatter_recursive_doubling_allgather,0,2048,3,0.586979510,0.000286611,0.000195396,0.000505268,1
warmup,19,19,scatter_recursive_doubling_allgather,0,2048,3,0.661018629,0.000322763,0.000215164,0.000488385,1
actual,0,20,scatter_recursive_doubling_allgather,0,2048,3,0.601707884,0.000293803,0.000188343,0.000478418,1
actual,1,21,scatter_recursive_doubling_allgather,0,2048,3,0.639064511,0.000312043,0.000214392,0.001402868,1
actual,2,22,scatter_recursive_doubling_allgather,0,2048,3,0.593612129,0.000289850,0.000199344,0.000447489,1
actual,3,23,scatter_recursive_doubling_allgather,0,2048,3,0.584665406,0.000285481,0.000192461,0.000512403,1
actual,4,24,scatter_recursive_doubling_allgather,0,2048,3,0.597518555,0.000291757,0.000201128,0.000453400,1
