phase,phase_iteration,global_iteration,algorithm,root,nproc,message_size_bytes,time_sum_sec,avg_latency_sec,min_time_sec,max_time_sec,correct
warmup,0,0,pipelined_tree,0,4096,2,9.327718074,0.002277275,0.000060154,0.004602300,1
warmup,1,1,pipelined_tree,0,4096,2,2.097955386,0.000512196,0.000001843,0.002503533,1
warmup,2,2,pipelined_tree,0,4096,2,1.663601925,0.000406153,0.000001383,0.002556208,1
warmup,3,3,pipelined_tree,0,4096,2,1.356261637,0.000331119,0.000001052,0.002584536,1
warmup,4,4,pipelined_tree,0,4096,2,1.383696369,0.000337816,0.000001192,0.001542315,1
warmup,5,5,pipelined_tree,0,4096,2,1.284209013,0.000313528,0.000001242,0.001547379,1
warmup,6,6,pipelined_tree,0,4096,2,1.379722256,0.000336846,0.000001031,0.001635964,1
warmup,7,7,pipelined_tree,0,4096,2,1.234846516,0.000301476,0.000001343,0.001544265,1
warmup,8,8,pipelined_tree,0,4096,2,1.276365838,0.000311613,0.000001243,0.001484450,1
warmup,9,9,pipelined_tree,0,4096,2,1.252194220,0.000305711,0.000003186,0.001558525,1
warmup,10,10,pipelined_tree,0,4096,2,1.283144990,0.000313268,0.000001112,0.001487785,1
warmup,11,11,pipelined_tree,0,4096,2,1.183352700,0.000288904,0.000001172,0.001534612,1
warmup,12,12,pipelined_tree,0,4096,2,1.262318022,0.000308183,0.000001072,0.001449710,1
warmup,13,13,pipelined_tree,0,4096,2,1.336720508,0.000326348,0.000001012,0.002471687,1
warmup,14,14,pipelined_tree,0,4096,2,1.230223595,0.000300348,0.000001212,0.001503890,1
warmup,15,15,pipelined_tree,0,4096,2,1.097895038,0.000268041,0.000001042,0.000524504,1
warmup,16,16,pipelined_tree,0,4096,2,1.262802199,0.000308301,0.000001062,0.000610556,1
warmup,17,17,pipelined_tree,0,4096,2,1.173526463,0.000286505,0.000000831,0.001395274,1
warmup,18,18,pipelined_tree,0,4096,2,1.210241339,0.000295469,0.000001303,0.001344658,1
warmup,19,19,pipelined_tree,0,4096,2,1.041733396,0.000254329,0.000000942,0.000542849,1
actual,0,20,pipelined_tree,0,4096,2,1.250000374,0.000305176,0.000001002,0.000551324,1
actual,1,21,pipelined_tree,0,4096,2,1.071693237,0.000261644,0.000000931,0.001300374,1
actual,2,22,pipelined_tree,0,4096,2,1.256899621,0.000306860,0.000001072,0.000546690,1
actual,3,23,pipelined_tree,0,4096,2,1.091276347,0.000266425,0.000000832,0.001476391,1
actual,4,24,pipelined_tree,0,4096,2,1.180285231,0.000288156,0.000000982,0.001488661,1
actual,5,25,pipelined_tree,0,4096,2,1.035462449,0.000252798,0.000000972,0.001458757,1
actual,6,26,pipelined_tree,0,4096,2,1.228031426,0.000299812,0.000001172,0.001406383,1
actual,7,27,pipelined_tree,0,4096,2,1.057299882,0.000258130,0.000000962,0.001494181,1
actual,8,28,pipelined_tree,0,4096,2,1.220587982,0.000297995,0.000001273,0.001407526,1
actual,9,29,pipelined_tree,0,4096,2,1.041128797,0.000254182,0.000001694,0.000556795,1
actual,10,30,pipelined_tree,0,4096,2,1.247163196,0.000304483,0.000000992,0.001429309,1
actual,11,31,pipelined_tree,0,4096,2,1.072887520,0.000261935,0.000001163,0.001352484,1
actual,12,32,pipelined_tree,0,4096,2,1.191262558,0.000290836,0.000000872,0.001428186,1
actual,13,33,pipelined_tree,0,4096,2,1.043352290,0.000254725,0.000000982,0.000498854,1
actual,14,34,pipelined_tree,0,4096,2,1.258282716,0.000307198,0.000001343,0.001422996,1
actual,15,35,pipelined_tree,0,4096,2,1.058786637,0.000258493,0.000000771,0.000556014,1
actual,16,36,pipelined_tree,0,4096,2,1.219053261,0.000297620,0.000001072,0.000567154,1
actual,17,37,pipelined_tree,0,4096,2,1.111214893,0.000271293,0.000000972,0.001481574,1
actual,18,38,pipelined_tree,0,4096,2,1.159090017,0.000282981,0.000000842,0.000558468,1
actual,19,39,pipelined_tree,0,4096,2,1.054560028,0.000257461,0.000001042,0.000562539,1
warmup,0,0,pipelined_tree,0,4096,3,1.225413111,0.000299173,0.000000771,0.000556935,1
warmup,1,1,pipelined_tree,0,4096,3,1.081121957,0.000263946,0.000001051,0.001427198,1
warmup,2,2,pipelined_tree,0,4096,3,1.269426115,0.000309918,0.000001362,0.001448864,1
warmup,3,3,pipelined_tree,0,4096,3,1.069948920,0.000261218,0.000001112,0.001335814,1
warmup,4,4,pipelined_tree,0,4096,3,1.175960267,0.000287100,0.000000862,0.000570138,1
warmup,5,5,pipelined_tree,0,4096,3,1.079822891,0.000263629,0.000001032,0.001404049,1
warmup,6,6,pipelined_tree,0,4096,3,1.216454382,0.000296986,0.000000892,0.000541256,1
warmup,7,7,pipelined_tree,0,4096,3,1.104773550,0.000269720,0.000002114,0.001282537,1
warmup,8,8,pipelined_tree,0,4096,3,1.185938923,0.000289536,0.000001292,0.001336103,1
warmup,9,9,pipelined_tree,0,4096,3,1.109319956,0.000270830,0.000000952,0.000570701,1
warmup,10,10,pipelined_tree,0,4096,3,1.288290238,0.000314524,0.000001503,0.001463995,1
warmup,11,11,pipelined_tree,0,4096,3,1.029317305,0.000251298,0.000000851,0.000552898,1
warmup,12,12,pipelined_tree,0,4096,3,1.232379676,0.000300874,0.000000912,0.000580331,1
warmup,13,13,pipelined_tree,0,4096,3,1.046687528,0.000255539,0.000001052,0.000560292,1
warmup,14,14,pipelined_tree,0,4096,3,1.204454963,0.000294056,0.000001152,0.000589737,1
warmup,15,15,pipelined_tree,0,4096,3,1.047020583,0.000255620,0.000000922,0.000573687,1
warmup,16,16,pipelined_tree,0,4096,3,1.192938677,0.000291245,0.000001112,0.000544664,1
warmup,17,17,pipelined_tree,0,4096,3,1.052511365,0.000256961,0.000001022,0.000551235,1
warmup,18,18,pipelined_tree,0,4096,3,1.228431642,0.000299910,0.000001313,0.001397179,1
warmup,19,19,pipelined_tree,0,4096,3,1.073707220,0.000262136,0.000001062,0.000561033,1
actual,0,20,pipelined_tree,0,4096,3,1.239235691,0.000302548,0.000000962,0.001429388,1
actual,1,21,pipelined_tree,0,4096,3,1.063893031,0.000259740,0.000000911,0.000563447,1
actual,2,22,pipelined_tree,0,4096,3,1.206215256,0.000294486,0.000000931,0.000576352,1
actual,3,23,pipelined_tree,0,4096,3,1.040659781,0.000254067,0.000001022,0.000539342,1
actual,4,24,pipelined_tree,0,4096,3,1.195208438,0.000291799,0.000001012,0.001451853,1
actual,5,25,pipelined_tree,0,4096,3,1.045185917,0.000255172,0.000000791,0.000559450,1
actual,6,26,pipelined_tree,0,4096,3,1.228139857,0.000299839,0.000001052,0.000555663,1
actual,7,27,pipelined_tree,0,4096,3,1.042107855,0.000254421,0.000000932,0.001364436,1
actual,8,28,pipelined_tree,0,4096,3,1.271279200,0.000310371,0.000001442,0.000629391,1
actual,9,29,pipelined_tree,0,4096,3,1.044855209,0.000255092,0.000000921,0.000553238,1
actual,10,30,pipelined_tree,0,4096,3,1.290520969,0.000315069,0.000001312,0.001522302,1
actual,11,31,pipelined_tree,0,4096,3,1.021168485,0.000249309,0.000000871,0.001313981,1
actual,12,32,pipelined_tree,0,4096,3,1.263409134,0.000308449,0.000005811,0.000579077,1
actual,13,33,pipelined_tree,0,4096,3,1.068035064,0.000260751,0.000001173,0.000570691,1
actual,14,34,pipelined_tree,0,4096,3,1.185474212,0.000289422,0.000001162,0.001371798,1
actual,15,35,pipelined_tree,0,4096,3,1.093579151,0.000266987,0.000001613,0.001367008,1
actual,16,36,pipelined_tree,0,4096,3,1.173474827,0.000286493,0.000000942,0.000573286,1
actual,17,37,pipelined_tree,0,4096,3,1.046664318,0.000255533,0.000002515,0.000551645,1
actual,18,38,pipelined_tree,0,4096,3,1.216031353,0.000296883,0.000000911,0.000573036,1
actual,19,39,pipelined_tree,0,4096,3,1.085604269,0.000265040,0.000001132,0.000569569,1
warmup,0,0,pipelined_tree,0,4096,4,1.178836220,0.000287802,0.000000892,0.000577645,1
warmup,1,1,pipelined_tree,0,4096,4,1.072723930,0.000261895,0.000000811,0.001316551,1
warmup,2,2,pipelined_tree,0,4096,4,1.168911996,0.000285379,0.000000871,0.001450733,1
warmup,3,3,pipelined_tree,0,4096,4,1.048059364,0.000255874,0.000000992,0.000542358,1
warmup,4,4,pipelined_tree,0,4096,4,1.232741596,0.000300962,0.000001142,0.001347370,1
warmup,5,5,pipelined_tree,0,4096,4,1.044597202,0.000255029,0.000000882,0.000549441,1
warmup,6,6,pipelined_tree,0,4096,4,1.185345079,0.000289391,0.000000861,0.000571623,1
warmup,7,7,pipelined_tree,0,4096,4,1.043195669,0.000254686,0.000001011,0.000563197,1
warmup,8,8,pipelined_tree,0,4096,4,1.146476688,0.000279902,0.000000952,0.000575116,1
warmup,9,9,pipelined_tree,0,4096,4,1.073909329,0.000262185,0.000001052,0.001329571,1
warmup,10,10,pipelined_tree,0,4096,4,1.277291607,0.000311839,0.000000792,0.000699790,1
warmup,11,11,pipelined_tree,0,4096,4,1.102133086,0.000269075,0.000000771,0.001383568,1
warmup,12,12,pipelined_tree,0,4096,4,1.155014833,0.000281986,0.000001082,0.000536066,1
warmup,13,13,pipelined_tree,0,4096,4,1.051156900,0.000256630,0.000000722,0.001481822,1
warmup,14,14,pipelined_tree,0,4096,4,1.178548505,0.000287732,0.000000942,0.000547538,1
warmup,15,15,pipelined_tree,0,4096,4,1.058832212,0.000258504,0.000001102,0.000553329,1
warmup,16,16,pipelined_tree,0,4096,4,1.192934077,0.000291244,0.000000832,0.000574268,1
warmup,17,17,pipelined_tree,0,4096,4,1.041405004,0.000254249,0.000001052,0.000530298,1
warmup,18,18,pipelined_tree,0,4096,4,1.192847701,0.000291223,0.000001002,0.000587832,1
warmup,19,19,pipelined_tree,0,4096,4,1.053896597,0.000257299,0.000001062,0.000553912,1
actual,0,20,pipelined_tree,0,4096,4,1.142645846,0.000278966,0.000000822,0.000564259,1
actual,1,21,pipelined_tree,0,4096,4,1.023934819,0.000249984,0.000000922,0.000598632,1
actual,2,22,pipelined_tree,0,4096,4,1.289707480,0.000314870,0.000001122,0.000582022,1
actual,3,23,pipelined_tree,0,4096,4,1.063153891,0.000259559,0.000000942,0.001322200,1
actual,4,24,pipelined_tree,0,4096,4,1.222055646,0.000298353,0.000000872,0.000550743,1
actual,5,25,pipelined_tree,0,4096,4,1.089677568,0.000266035,0.000000822,0.000572274,1
actual,6,26,pipelined_tree,0,4096,4,1.230482246,0.000300411,0.000000922,0.000641361,1
actual,7,27,pipelined_tree,0,4096,4,1.080175394,0.000263715,0.000000872,0.001449743,1
actual,8,28,pipelined_tree,0,4096,4,1.191902252,0.000290992,0.000000821,0.000560361,1
actual,9,29,pipelined_tree,0,4096,4,1.027416123,0.000250834,0.000001082,0.000555453,1
actual,10,30,pipelined_tree,0,4096,4,1.260406579,0.000307716,0.000000922,0.001384640,1
actual,11,31,pipelined_tree,0,4096,4,1.047029112,0.000255622,0.000000782,0.000495990,1
actual,12,32,pipelined_tree,0,4096,4,1.184737248,0.000289242,0.000000972,0.000554410,1
actual,13,33,pipelined_tree,0,4096,4,1.031341230,0.000251792,0.000000801,0.000559130,1
actual,14,34,pipelined_tree,0,4096,4,1.197955362,0.000292470,0.000000761,0.000566844,1
actual,15,35,pipelined_tree,0,4096,4,1.072925247,0.000261945,0.000000942,0.001540454,1
actual,16,36,pipelined_tree,0,4096,4,1.198795916,0.000292675,0.000001042,0.000591751,1
actual,17,37,pipelined_tree,0,4096,4,1.209249707,0.000295227,0.000000802,0.001297725,1
actual,18,38,pipelined_tree,0,4096,4,1.261118089,0.000307890,0.000000812,0.000592122,1
actual,19,39,pipelined_tree,0,4096,4,1.039693590,0.000253831,0.000000872,0.001322648,1
