phase,phase_iteration,global_iteration,algorithm,root,nproc,message_size_bytes,time_sum_sec,avg_latency_sec,min_time_sec,max_time_sec,correct
warmup,0,0,scatter_ring_allgather,0,8192,2,813.785731282,0.099339079,0.082111808,0.116871409,1
warmup,1,1,scatter_ring_allgather,0,8192,2,815.565153675,0.099556293,0.081910305,0.118278993,1
warmup,2,2,scatter_ring_allgather,0,8192,2,853.258208176,0.104157496,0.089038093,0.121571391,1
warmup,3,3,scatter_ring_allgather,0,8192,2,851.097425601,0.103893729,0.089927477,0.117139939,1
warmup,4,4,scatter_ring_allgather,0,8192,2,840.950248480,0.102655060,0.088057350,0.117747435,1
warmup,5,5,scatter_ring_allgather,0,8192,2,846.292684505,0.103307212,0.089068270,0.119063700,1
warmup,6,6,scatter_ring_allgather,0,8192,2,843.307990751,0.102942870,0.086987948,0.118857185,1
warmup,7,7,scatter_ring_allgather,0,8192,2,838.748737185,0.102386320,0.087393029,0.117953426,1
warmup,8,8,scatter_ring_allgather,0,8192,2,837.305985489,0.102210203,0.088278192,0.118618166,1
warmup,9,9,scatter_ring_allgather,0,8192,2,843.161422905,0.102924978,0.088357039,0.116609540,1
warmup,10,10,scatter_ring_allgather,0,8192,2,841.126808967,0.102676612,0.087123321,0.118026608,1
warmup,11,11,scatter_ring_allgather,0,8192,2,840.053738568,0.102545622,0.085773506,0.118232326,1
warmup,12,12,scatter_ring_allgather,0,8192,2,840.455756602,0.102594697,0.087046127,0.117245627,1
warmup,13,13,scatter_ring_allgather,0,8192,2,841.499010887,0.102722047,0.087472764,0.118122449,1
warmup,14,14,scatter_ring_allgather,0,8192,2,833.119142270,0.101699114,0.087027472,0.116736649,1
warmup,15,15,scatter_ring_allgather,0,8192,2,832.647499155,0.101641540,0.087087904,0.116625991,1
warmup,16,16,scatter_ring_allgather,0,8192,2,833.004016856,0.101685061,0.087284052,0.116466511,1
warmup,17,17,scatter_ring_allgather,0,8192,2,835.960855526,0.102046003,0.087170489,0.118055402,1
warmup,18,18,scatter_ring_allgather,0,8192,2,841.100050028,0.102673346,0.086566348,0.116718195,1
warmup,19,19,scatter_ring_allgather,0,8192,2,844.404662079,0.103076741,0.089031040,0.117629641,1
actual,0,20,scatter_ring_allgather,0,8192,2,845.774943978,0.103244012,0.086842004,0.117910410,1
actual,1,21,scatter_ring_allgather,0,8192,2,835.898162841,0.102038350,0.086597679,0.117766679,1
actual,2,22,scatter_ring_allgather,0,8192,2,847.686481070,0.103477354,0.086698675,0.119979234,1
actual,3,23,scatter_ring_allgather,0,8192,2,837.031507871,0.102176698,0.086229888,0.118080138,1
actual,4,24,scatter_ring_allgather,0,8192,2,849.055782807,0.103644505,0.089502481,0.118231043,1
actual,5,25,scatter_ring_allgather,0,8192,2,842.373059415,0.102828743,0.086384208,0.118565512,1
actual,6,26,scatter_ring_allgather,0,8192,2,846.153153229,0.103290180,0.087061435,0.118974442,1
actual,7,27,scatter_ring_allgather,0,8192,2,836.747190346,0.102141991,0.088677368,0.117359401,1
actual,8,28,scatter_ring_allgather,0,8192,2,847.128502181,0.103409241,0.089583202,0.117027798,1
actual,9,29,scatter_ring_allgather,0,8192,2,842.974954498,0.102902216,0.086834290,0.117592701,1
actual,10,30,scatter_ring_allgather,0,8192,2,833.246371301,0.101714645,0.087174096,0.116513339,1
actual,11,31,scatter_ring_allgather,0,8192,2,843.852062397,0.103009285,0.086750604,0.118227175,1
actual,12,32,scatter_ring_allgather,0,8192,2,841.853157948,0.102765278,0.087605820,0.118170359,1
actual,13,33,scatter_ring_allgather,0,8192,2,849.081447983,0.103647638,0.089842288,0.117911982,1
actual,14,34,scatter_ring_allgather,0,8192,2,843.163154428,0.102925190,0.087467335,0.118235862,1
actual,15,35,scatter_ring_allgather,0,8192,2,844.237014582,0.103056276,0.086898401,0.118493618,1
actual,16,36,scatter_ring_allgather,0,8192,2,847.760357981,0.103486372,0.089211668,0.118228167,1
actual,17,37,scatter_ring_allgather,0,8192,2,848.020300298,0.103518103,0.089502503,0.118104204,1
actual,18,38,scatter_ring_allgather,0,8192,2,842.885659483,0.102891316,0.086787343,0.117954101,1
actual,19,39,scatter_ring_allgather,0,8192,2,842.679458566,0.102866145,0.087214672,0.118015477,1
warmup,0,0,scatter_ring_allgather,0,8192,3,837.817824695,0.102272684,0.089163067,0.117872999,1
warmup,1,1,scatter_ring_allgather,0,8192,3,844.154655707,0.103046223,0.088873857,0.118058207,1
warmup,2,2,scatter_ring_allgather,0,8192,3,852.199302261,0.104028235,0.089608550,0.119830664,1
warmup,3,3,scatter_ring_allgather,0,8192,3,842.034920265,0.102787466,0.086626752,0.117937269,1
warmup,4,4,scatter_ring_allgather,0,8192,3,844.754167847,0.103119405,0.086473134,0.118328576,1
warmup,5,5,scatter_ring_allgather,0,8192,3,849.590223040,0.103709744,0.089053032,0.118232551,1
warmup,6,6,scatter_ring_allgather,0,8192,3,841.807150621,0.102759662,0.087308287,0.117998834,1
warmup,7,7,scatter_ring_allgather,0,8192,3,835.180115297,0.101950698,0.087984713,0.117537236,1
warmup,8,8,scatter_ring_allgather,0,8192,3,840.979423603,0.102658621,0.086512498,0.117749083,1
warmup,9,9,scatter_ring_allgather,0,8192,3,842.203500181,0.102808044,0.087202900,0.118031075,1
warmup,10,10,scatter_ring_allgather,0,8192,3,842.937540269,0.102897649,0.086591527,0.117657462,1
warmup,11,11,scatter_ring_allgather,0,8192,3,844.056958754,0.103034297,0.086541683,0.117924585,1
warmup,12,12,scatter_ring_allgather,0,8192,3,843.190517486,0.102928530,0.086544478,0.117758142,1
warmup,13,13,scatter_ring_allgather,0,8192,3,849.103885142,0.103650377,0.088335228,0.118131113,1
warmup,14,14,scatter_ring_allgather,0,8192,3,850.528284903,0.103824254,0.089562645,0.117884709,1
warmup,15,15,scatter_ring_allgather,0,8192,3,844.544033196,0.103093754,0.086706831,0.118237054,1
warmup,16,16,scatter_ring_allgather,0,8192,3,849.700420818,0.103723196,0.088258325,0.119296228,1
