phase,phase_iteration,global_iteration,algorithm,root,nproc,message_size_bytes,time_sum_sec,avg_latency_sec,min_time_sec,max_time_sec,correct
warmup,0,0,tree,0,8192,2,23.138254143,0.002824494,0.000019536,0.006347277,1
warmup,1,1,tree,0,8192,2,4.490198294,0.000548120,0.000001513,0.003757229,1
warmup,2,2,tree,0,8192,2,4.089688395,0.000499230,0.000003276,0.002726336,1
warmup,3,3,tree,0,8192,2,3.761569969,0.000459176,0.000001613,0.002695537,1
warmup,4,4,tree,0,8192,2,3.274774356,0.000399753,0.000001413,0.001899125,1
warmup,5,5,tree,0,8192,2,3.104252949,0.000378937,0.000001262,0.001654989,1
warmup,6,6,tree,0,8192,2,2.995134413,0.000365617,0.000001073,0.001638904,1
warmup,7,7,tree,0,8192,2,2.715868904,0.000331527,0.000001463,0.001554372,1
warmup,8,8,tree,0,8192,2,2.934351662,0.000358197,0.000001173,0.001602908,1
warmup,9,9,tree,0,8192,2,2.704425301,0.000330130,0.000001042,0.001632290,1
warmup,10,10,tree,0,8192,2,2.770558471,0.000338203,0.000001142,0.001585200,1
warmup,11,11,tree,0,8192,2,2.843323766,0.000347085,0.000001302,0.001661883,1
warmup,12,12,tree,0,8192,2,2.819978646,0.000344236,0.000001162,0.001624018,1
warmup,13,13,tree,0,8192,2,2.605033949,0.000317997,0.000001032,0.001542412,1
warmup,14,14,tree,0,8192,2,2.821306438,0.000344398,0.000001052,0.001602378,1
warmup,15,15,tree,0,8192,2,2.716169639,0.000331564,0.000000952,0.001571929,1
warmup,16,16,tree,0,8192,2,2.612713203,0.000318935,0.000001082,0.001521200,1
warmup,17,17,tree,0,8192,2,2.638147854,0.000322040,0.000000922,0.001607428,1
warmup,18,18,tree,0,8192,2,2.619481122,0.000319761,0.000001092,0.000647573,1
warmup,19,19,tree,0,8192,2,2.389950801,0.000291742,0.000000911,0.001505735,1
actual,0,20,tree,0,8192,2,2.631900649,0.000321277,0.000001052,0.001543976,1
actual,1,21,tree,0,8192,2,2.521411670,0.000307790,0.000000861,0.001397876,1
actual,2,22,tree,0,8192,2,2.695621065,0.000329055,0.000001132,0.001547423,1
actual,3,23,tree,0,8192,2,2.496826740,0.000304788,0.000000812,0.000610758,1
actual,4,24,tree,0,8192,2,2.699378510,0.000329514,0.000000972,0.001459968,1
actual,5,25,tree,0,8192,2,2.500554458,0.000305243,0.000000911,0.001421732,1
actual,6,26,tree,0,8192,2,2.744322821,0.000335000,0.000001122,0.001505552,1
actual,7,27,tree,0,8192,2,2.494428134,0.000304496,0.000000882,0.000782439,1
actual,8,28,tree,0,8192,2,2.604166479,0.000317891,0.000000892,0.001478895,1
actual,9,29,tree,0,8192,2,2.423022799,0.000295779,0.000001062,0.001447353,1
actual,10,30,tree,0,8192,2,2.820704491,0.000344324,0.000000942,0.001504203,1
actual,11,31,tree,0,8192,2,2.432508809,0.000296937,0.000000951,0.001456571,1
actual,12,32,tree,0,8192,2,2.651906345,0.000323719,0.000000902,0.001453251,1
actual,13,33,tree,0,8192,2,2.435025282,0.000297244,0.000002905,0.001448634,1
actual,14,34,tree,0,8192,2,2.569519231,0.000313662,0.000000851,0.000627146,1
actual,15,35,tree,0,8192,2,2.471725620,0.000301724,0.000000991,0.000684967,1
actual,16,36,tree,0,8192,2,2.590024307,0.000316165,0.000000892,0.001567141,1
actual,17,37,tree,0,8192,2,2.634870661,0.000321639,0.000000932,0.000641071,1
actual,18,38,tree,0,8192,2,2.591618145,0.000316360,0.000001012,0.001654802,1
actual,19,39,tree,0,8192,2,2.404531613,0.000293522,0.000000962,0.001613093,1
warmup,0,0,tree,0,8192,3,2.596713909,0.000316982,0.000001112,0.000619257,1
warmup,1,1,tree,0,8192,3,2.524417753,0.000308156,0.000000962,0.001432195,1
