ppn,nproc,algorithm,message_size_bytes,median_max_time_sec,samples
8,16,binomial,2,2.7506499999999998e-05,250
8,16,binomial,3,2.7425999999999998e-05,250
8,16,binomial,4,2.7677e-05,250
8,16,binomial,6,2.7611499999999998e-05,250
8,16,binomial,8,2.7817500000000003e-05,250
8,16,binomial,12,2.7787e-05,250
8,16,binomial,16,2.7631e-05,250
8,16,binomial,24,2.77015e-05,250
8,16,binomial,32,2.7742e-05,250
8,16,binomial,48,2.7876999999999998e-05,250
8,16,binomial,64,2.8198e-05,250
8,16,binomial,96,2.9511000000000003e-05,250
8,16,binomial,128,2.957e-05,250
8,16,binomial,192,2.96255e-05,250
8,16,binomial,256,4.8241e-05,250
8,16,binomial,384,4.8326e-05,250
8,16,binomial,512,4.781e-05,250
8,16,binomial,768,4.78505e-05,250
8,16,binomial,1024,5.48885e-05,250
8,16,binomial,1536,5.3095e-05,250
8,16,binomial,2048,5.35005e-05,250
8,16,binomial,3072,5.3746e-05,250
8,16,binomial,4096,5.4828e-05,250
8,16,binomial,6144,5.572e-05,250
8,16,binomial,8192,6.614500000000001e-05,250
8,16,binomial,12288,6.89195e-05,250
8,16,binomial,16384,7.12345e-05,250
8,16,binomial,24576,7.7596e-05,250
8,16,binomial,32768,8.46795e-05,250
8,16,binomial,49152,9.692300000000001e-05,250
8,16,binomial,65536,0.00011468599999999999,250
8,16,binomial,98304,0.0001357005,250
8,16,binomial,131072,0.000157462,250
8,16,binomial,196608,0.000202411,250
8,16,binomial,262144,0.0002464045,250
8,16,binomial,393216,0.000329842,250
8,16,binomial,524288,0.0004144055,250
8,16,binomial,786432,0.0005753795,250
8,16,binomial,1048576,0.0007321615,250
8,16,binomial,1572864,0.001043304,250
8,16,binomial,2097152,0.001325407,250
8,16,binomial,3145728,0.0018316259999999998,250
8,16,binomial,4194304,0.0023002215,250
8,16,binomial,6291456,0.003264983,250
8,16,binomial,8388608,0.0041982665,250
8,16,binomial,12582912,0.006134125,250
8,16,binomial,16777216,0.0081118865,250
8,16,binomial,25165824,0.0122332445,250
8,16,binomial,33554432,0.0166332425,250
16,32,binomial,2,3.6803999999999995e-05,250
16,32,binomial,3,3.6853999999999996e-05,250
16,32,binomial,4,3.69895e-05,250
16,32,binomial,6,3.6959e-05,250
16,32,binomial,8,3.68995e-05,250
16,32,binomial,12,3.6939e-05,250
16,32,binomial,16,3.6889e-05,250
16,32,binomial,24,3.5166e-05,250
16,32,binomial,32,3.5517e-05,250
16,32,binomial,48,3.5702000000000005e-05,250
16,32,binomial,64,3.5661500000000004e-05,250
16,32,binomial,96,3.55515e-05,250
16,32,binomial,128,3.5757e-05,250
16,32,binomial,192,3.727e-05,250
16,32,binomial,256,5.9652000000000004e-05,250
16,32,binomial,384,5.9887000000000004e-05,250
16,32,binomial,512,5.9266e-05,250
16,32,binomial,768,5.9391e-05,250
16,32,binomial,1024,6.5623e-05,250
16,32,binomial,1536,6.41055e-05,250
16,32,binomial,2048,6.5683e-05,250
16,32,binomial,3072,6.6966e-05,250
16,32,binomial,4096,6.7256e-05,250
16,32,binomial,6144,6.8278e-05,250
16,32,binomial,8192,8.533999999999999e-05,250
16,32,binomial,12288,8.88215e-05,250
16,32,binomial,16384,9.1887e-05,250
16,32,binomial,24576,9.72575e-05,250
16,32,binomial,32768,0.000101685,250
16,32,binomial,49152,0.000115742,250
16,32,binomial,65536,0.0001364205,250
16,32,binomial,98304,0.00016017549999999998,250
16,32,binomial,131072,0.0001854825,250
16,32,binomial,196608,0.00023945299999999999,250
16,32,binomial,262144,0.000294892,250
16,32,binomial,393216,0.000398412,250
16,32,binomial,524288,0.0004965755,250
