phase,phase_iteration,global_iteration,algorithm,root,nproc,message_size_bytes,time_sum_sec,avg_latency_sec,min_time_sec,max_time_sec,correct
warmup,0,0,pipelined_tree,0,512,2,0.693064258,0.001353641,0.000043532,0.002746795,1
warmup,1,1,pipelined_tree,0,512,2,0.099996197,0.000195305,0.000001763,0.001396202,1
warmup,2,2,pipelined_tree,0,512,2,0.226966802,0.000443295,0.000001242,0.001466967,1
warmup,3,3,pipelined_tree,0,512,2,0.187035440,0.000365304,0.000003486,0.001408907,1
warmup,4,4,pipelined_tree,0,512,2,0.089177596,0.000174175,0.000001072,0.000353504,1
warmup,5,5,pipelined_tree,0,512,2,0.088368134,0.000172594,0.000001213,0.001362065,1
warmup,6,6,pipelined_tree,0,512,2,0.086704378,0.000169344,0.000001593,0.000309028,1
warmup,7,7,pipelined_tree,0,512,2,0.082771982,0.000161664,0.000001172,0.000313689,1
warmup,8,8,pipelined_tree,0,512,2,0.084915755,0.000165851,0.000001262,0.000304912,1
warmup,9,9,pipelined_tree,0,512,2,0.077557099,0.000151479,0.000001162,0.001183231,1
warmup,10,10,pipelined_tree,0,512,2,0.117812593,0.000230103,0.000001212,0.002388777,1
warmup,11,11,pipelined_tree,0,512,2,0.084465552,0.000164972,0.000003005,0.001358132,1
warmup,12,12,pipelined_tree,0,512,2,0.080805512,0.000157823,0.000001493,0.000306183,1
warmup,13,13,pipelined_tree,0,512,2,0.081969177,0.000160096,0.000001162,0.001255726,1
warmup,14,14,pipelined_tree,0,512,2,0.088847146,0.000173530,0.000001062,0.001345769,1
warmup,15,15,pipelined_tree,0,512,2,0.074025587,0.000144581,0.000001352,0.000291337,1
warmup,16,16,pipelined_tree,0,512,2,0.080591028,0.000157404,0.000001182,0.000296887,1
warmup,17,17,pipelined_tree,0,512,2,0.075678468,0.000147810,0.000001072,0.000306785,1
warmup,18,18,pipelined_tree,0,512,2,0.079454796,0.000155185,0.000001052,0.000289191,1
warmup,19,19,pipelined_tree,0,512,2,0.076749528,0.000149901,0.000001302,0.000295345,1
warmup,20,20,pipelined_tree,0,512,2,0.082447960,0.000161031,0.000001252,0.000316935,1
warmup,21,21,pipelined_tree,0,512,2,0.124259663,0.000242695,0.000001082,0.001293388,1
warmup,22,22,pipelined_tree,0,512,2,0.078094808,0.000152529,0.000001042,0.000316614,1
warmup,23,23,pipelined_tree,0,512,2,0.072753659,0.000142097,0.000001012,0.000339447,1
warmup,24,24,pipelined_tree,0,512,2,0.078866865,0.000154037,0.000001212,0.000288130,1
warmup,25,25,pipelined_tree,0,512,2,0.075626237,0.000147707,0.000001092,0.000323357,1
warmup,26,26,pipelined_tree,0,512,2,0.075260301,0.000146993,0.000001173,0.000280545,1
warmup,27,27,pipelined_tree,0,512,2,0.076354676,0.000149130,0.000000992,0.000289894,1
warmup,28,28,pipelined_tree,0,512,2,0.077902495,0.000152153,0.000001002,0.000299171,1
warmup,29,29,pipelined_tree,0,512,2,0.072569174,0.000141737,0.000001012,0.000305293,1
warmup,30,30,pipelined_tree,0,512,2,0.077077512,0.000150542,0.000001011,0.000274997,1
warmup,31,31,pipelined_tree,0,512,2,0.076648715,0.000149705,0.000001002,0.000313097,1
warmup,32,32,pipelined_tree,0,512,2,0.079047250,0.000154389,0.000001092,0.000268164,1
warmup,33,33,pipelined_tree,0,512,2,0.090540486,0.000176837,0.000001022,0.001366732,1
warmup,34,34,pipelined_tree,0,512,2,0.081651626,0.000159476,0.000001182,0.001263583,1
warmup,35,35,pipelined_tree,0,512,2,0.074025852,0.000144582,0.000001152,0.000300975,1
warmup,36,36,pipelined_tree,0,512,2,0.081620493,0.000159415,0.000000932,0.000307597,1
warmup,37,37,pipelined_tree,0,512,2,0.072675787,0.000141945,0.000000871,0.000307908,1
warmup,38,38,pipelined_tree,0,512,2,0.077331518,0.000151038,0.000000972,0.000298531,1
warmup,39,39,pipelined_tree,0,512,2,0.073456306,0.000143469,0.000000862,0.000297268,1
warmup,40,40,pipelined_tree,0,512,2,0.079833631,0.000155925,0.000002906,0.000322195,1
warmup,41,41,pipelined_tree,0,512,2,0.075407476,0.000147280,0.000001092,0.000303038,1
warmup,42,42,pipelined_tree,0,512,2,0.081345539,0.000158878,0.000001052,0.000354034,1
warmup,43,43,pipelined_tree,0,512,2,0.076934889,0.000150263,0.000001042,0.000292940,1
warmup,44,44,pipelined_tree,0,512,2,0.081331212,0.000158850,0.000000922,0.000314711,1
warmup,45,45,pipelined_tree,0,512,2,0.072185041,0.000140986,0.000000962,0.000305984,1
warmup,46,46,pipelined_tree,0,512,2,0.074754552,0.000146005,0.000001142,0.000280046,1
warmup,47,47,pipelined_tree,0,512,2,0.072458426,0.000141520,0.000000982,0.000294483,1
warmup,48,48,pipelined_tree,0,512,2,0.078686355,0.000153684,0.000001092,0.000280808,1
warmup,49,49,pipelined_tree,0,512,2,0.075288451,0.000147048,0.000001062,0.000304331,1
actual,0,50,pipelined_tree,0,512,2,0.079216001,0.000154719,0.000001022,0.000310122,1
actual,1,51,pipelined_tree,0,512,2,0.075057173,0.000146596,0.000000921,0.000282270,1
actual,2,52,pipelined_tree,0,512,2,0.079392804,0.000155064,0.000000982,0.000291066,1
actual,3,53,pipelined_tree,0,512,2,0.074300956,0.000145119,0.000000981,0.000306325,1
actual,4,54,pipelined_tree,0,512,2,0.077573660,0.000151511,0.000001163,0.000297950,1
actual,5,55,pipelined_tree,0,512,2,0.072863752,0.000142312,0.000000992,0.000307306,1
actual,6,56,pipelined_tree,0,512,2,0.087897152,0.000171674,0.000000982,0.001366703,1
actual,7,57,pipelined_tree,0,512,2,0.073355648,0.000143273,0.000000972,0.000305664,1
actual,8,58,pipelined_tree,0,512,2,0.081274779,0.000158740,0.000001182,0.000295325,1
actual,9,59,pipelined_tree,0,512,2,0.079924537,0.000156103,0.000001132,0.000301195,1
actual,10,60,pipelined_tree,0,512,2,0.081228366,0.000158649,0.000001082,0.000283070,1
actual,11,61,pipelined_tree,0,512,2,0.073927449,0.000144390,0.000000952,0.000320572,1
actual,12,62,pipelined_tree,0,512,2,0.074253577,0.000145027,0.000001092,0.001278768,1
