phase,phase_iteration,global_iteration,algorithm,root,nproc,message_size_bytes,time_sum_sec,avg_latency_sec,min_time_sec,max_time_sec,correct
warmup,0,0,pipelined_tree,0,512,2,2.045844667,0.003995790,0.000079819,0.006939891,1
warmup,1,1,pipelined_tree,0,512,2,0.137525931,0.000268605,0.000003536,0.001356592,1
warmup,2,2,pipelined_tree,0,512,2,0.106411426,0.000207835,0.000001483,0.001411308,1
warmup,3,3,pipelined_tree,0,512,2,0.133141691,0.000260042,0.000003537,0.001400354,1
warmup,4,4,pipelined_tree,0,512,2,0.126651720,0.000247367,0.000001453,0.001404510,1
warmup,5,5,pipelined_tree,0,512,2,0.119520389,0.000233438,0.000001163,0.001416262,1
warmup,6,6,pipelined_tree,0,512,2,0.100867866,0.000197008,0.000001252,0.001213447,1
warmup,7,7,pipelined_tree,0,512,2,0.094423091,0.000184420,0.000001603,0.001344338,1
warmup,8,8,pipelined_tree,0,512,2,0.093516071,0.000182649,0.000001143,0.000442359,1
warmup,9,9,pipelined_tree,0,512,2,0.079202096,0.000154692,0.000001102,0.000358522,1
warmup,10,10,pipelined_tree,0,512,2,0.086192499,0.000168345,0.000001052,0.000461995,1
warmup,11,11,pipelined_tree,0,512,2,0.084734658,0.000165497,0.000001303,0.001331744,1
warmup,12,12,pipelined_tree,0,512,2,0.088679451,0.000173202,0.000001102,0.001302029,1
warmup,13,13,pipelined_tree,0,512,2,0.085132015,0.000166273,0.000000962,0.001395253,1
warmup,14,14,pipelined_tree,0,512,2,0.086837700,0.000169605,0.000001072,0.001288678,1
warmup,15,15,pipelined_tree,0,512,2,0.079345047,0.000154971,0.000000951,0.000338224,1
warmup,16,16,pipelined_tree,0,512,2,0.088769152,0.000173377,0.000000851,0.001313641,1
warmup,17,17,pipelined_tree,0,512,2,0.079467058,0.000155209,0.000001092,0.000399128,1
warmup,18,18,pipelined_tree,0,512,2,0.083314018,0.000162723,0.000000872,0.000397746,1
warmup,19,19,pipelined_tree,0,512,2,0.079398210,0.000155075,0.000000872,0.001327212,1
warmup,20,20,pipelined_tree,0,512,2,0.079853479,0.000155964,0.000000882,0.000358482,1
warmup,21,21,pipelined_tree,0,512,2,0.078399864,0.000153125,0.000000872,0.000320671,1
warmup,22,22,pipelined_tree,0,512,2,0.086798099,0.000169528,0.000001062,0.000368931,1
warmup,23,23,pipelined_tree,0,512,2,0.074657375,0.000145815,0.000000902,0.000318907,1
warmup,24,24,pipelined_tree,0,512,2,0.086744401,0.000169423,0.000000792,0.001290782,1
warmup,25,25,pipelined_tree,0,512,2,0.077316691,0.000151009,0.000000982,0.000417302,1
warmup,26,26,pipelined_tree,0,512,2,0.084904870,0.000165830,0.000000861,0.000381335,1
warmup,27,27,pipelined_tree,0,512,2,0.080325811,0.000156886,0.000000891,0.000378559,1
warmup,28,28,pipelined_tree,0,512,2,0.075675761,0.000147804,0.000000802,0.000350587,1
warmup,29,29,pipelined_tree,0,512,2,0.078405266,0.000153135,0.000000791,0.000341701,1
warmup,30,30,pipelined_tree,0,512,2,0.084162093,0.000164379,0.000000782,0.000387897,1
warmup,31,31,pipelined_tree,0,512,2,0.084915215,0.000165850,0.000001202,0.000333906,1
warmup,32,32,pipelined_tree,0,512,2,0.084568873,0.000165174,0.000000922,0.000430737,1
warmup,33,33,pipelined_tree,0,512,2,0.073696371,0.000143938,0.000000871,0.000363251,1
warmup,34,34,pipelined_tree,0,512,2,0.086148556,0.000168259,0.000000782,0.000446888,1
warmup,35,35,pipelined_tree,0,512,2,0.073746073,0.000144035,0.000000912,0.000312586,1
warmup,36,36,pipelined_tree,0,512,2,0.083692466,0.000163462,0.000000821,0.000372037,1
warmup,37,37,pipelined_tree,0,512,2,0.072038896,0.000140701,0.000000882,0.000306284,1
warmup,38,38,pipelined_tree,0,512,2,0.085936271,0.000167844,0.000001122,0.000354555,1
warmup,39,39,pipelined_tree,0,512,2,0.074025362,0.000144581,0.000000841,0.000388137,1
warmup,40,40,pipelined_tree,0,512,2,0.081139812,0.000158476,0.000000862,0.000347472,1
warmup,41,41,pipelined_tree,0,512,2,0.079557802,0.000155386,0.000000811,0.000325239,1
warmup,42,42,pipelined_tree,0,512,2,0.083181551,0.000162464,0.000000832,0.000362560,1
warmup,43,43,pipelined_tree,0,512,2,0.075349959,0.000147168,0.000000861,0.000332654,1
warmup,44,44,pipelined_tree,0,512,2,0.080999484,0.000158202,0.000001022,0.000349374,1
