phase,phase_iteration,global_iteration,algorithm,root,nproc,message_size_bytes,time_sum_sec,avg_latency_sec,min_time_sec,max_time_sec,correct
warmup,0,0,binomial,0,128,2,0.402652747,0.003145725,0.000013175,0.007399008,1
warmup,1,1,binomial,0,128,2,0.006413491,0.000050105,0.000002434,0.000085961,1
warmup,2,2,binomial,0,128,2,0.007747766,0.000060529,0.000005481,0.000093785,1
warmup,3,3,binomial,0,128,2,0.007275813,0.000056842,0.000004148,0.000101470,1
warmup,4,4,binomial,0,128,2,0.008100573,0.000063286,0.000010670,0.000100448,1
warmup,5,5,binomial,0,128,2,0.006597070,0.000051540,0.000001703,0.000093085,1
warmup,6,6,binomial,0,128,2,0.007392880,0.000057757,0.000013125,0.000093846,1
warmup,7,7,binomial,0,128,2,0.008000413,0.000062503,0.000005431,0.000105898,1
warmup,8,8,binomial,0,128,2,0.007859320,0.000061401,0.000005501,0.000093986,1
warmup,9,9,binomial,0,128,2,0.006745037,0.000052696,0.000003386,0.000084449,1
warmup,10,10,binomial,0,128,2,0.007263097,0.000056743,0.000005681,0.000089468,1
warmup,11,11,binomial,0,128,2,0.006440013,0.000050313,0.000001503,0.000081302,1
warmup,12,12,binomial,0,128,2,0.007969227,0.000062260,0.000013676,0.000095238,1
warmup,13,13,binomial,0,128,2,0.006313109,0.000049321,0.000001523,0.000085449,1
warmup,14,14,binomial,0,128,2,0.007503008,0.000058617,0.000007755,0.000085932,1
warmup,15,15,binomial,0,128,2,0.006263965,0.000048937,0.000001522,0.000088266,1
warmup,16,16,binomial,0,128,2,0.007686117,0.000060048,0.000005501,0.000093165,1
warmup,17,17,binomial,0,128,2,0.006464368,0.000050503,0.000001743,0.000078227,1
warmup,18,18,binomial,0,128,2,0.007779732,0.000060779,0.000010430,0.000088917,1
warmup,19,19,binomial,0,128,2,0.006764779,0.000052850,0.000001573,0.000083486,1
warmup,20,20,binomial,0,128,2,0.007121432,0.000055636,0.000005280,0.000086652,1
warmup,21,21,binomial,0,128,2,0.006630684,0.000051802,0.000001673,0.000083497,1
warmup,22,22,binomial,0,128,2,0.007855806,0.000061373,0.000010921,0.000091300,1
warmup,23,23,binomial,0,128,2,0.007129760,0.000055701,0.000005140,0.000085520,1
warmup,24,24,binomial,0,128,2,0.007527169,0.000058806,0.000010329,0.000090229,1
warmup,25,25,binomial,0,128,2,0.006422922,0.000050179,0.000003406,0.000077075,1
warmup,26,26,binomial,0,128,2,0.007523563,0.000058778,0.000005360,0.000093395,1
warmup,27,27,binomial,0,128,2,0.006485428,0.000050667,0.000001553,0.000080591,1
warmup,28,28,binomial,0,128,2,0.008611308,0.000067276,0.000014738,0.000098195,1
warmup,29,29,binomial,0,128,2,0.007124237,0.000055658,0.000005270,0.000087334,1
warmup,30,30,binomial,0,128,2,0.007481261,0.000058447,0.000009799,0.000086012,1
warmup,31,31,binomial,0,128,2,0.006840376,0.000053440,0.000003436,0.000079460,1
warmup,32,32,binomial,0,128,2,0.007487121,0.000058493,0.000010389,0.000087935,1
warmup,33,33,binomial,0,128,2,0.006314087,0.000049329,0.000002274,0.000079289,1
warmup,34,34,binomial,0,128,2,0.008383184,0.000065494,0.000012764,0.000097383,1
warmup,35,35,binomial,0,128,2,0.006475316,0.000050588,0.000001423,0.000073628,1
warmup,36,36,binomial,0,128,2,0.007340495,0.000057348,0.000005430,0.000082976,1
warmup,37,37,binomial,0,128,2,0.006660769,0.000052037,0.000001493,0.000087764,1
warmup,38,38,binomial,0,128,2,0.007140096,0.000055782,0.000005290,0.000079980,1
warmup,39,39,binomial,0,128,2,0.006581319,0.000051417,0.000001653,0.000082255,1
warmup,40,40,binomial,0,128,2,0.007803936,0.000060968,0.000014698,0.000084037,1
warmup,41,41,binomial,0,128,2,0.006620601,0.000051723,0.000001833,0.000081232,1
warmup,42,42,binomial,0,128,2,0.007578152,0.000059204,0.000005340,0.000093886,1
warmup,43,43,binomial,0,128,2,0.006357207,0.000049666,0.000001392,0.000081583,1
warmup,44,44,binomial,0,128,2,0.007194850,0.000056210,0.000007695,0.000083066,1
warmup,45,45,binomial,0,128,2,0.006582997,0.000051430,0.000003467,0.000078648,1
warmup,46,46,binomial,0,128,2,0.008148041,0.000063657,0.000005630,0.000089558,1
warmup,47,47,binomial,0,128,2,0.006761350,0.000052823,0.000003447,0.000082004,1
warmup,48,48,binomial,0,128,2,0.007208338,0.000056315,0.000010199,0.000089558,1
warmup,49,49,binomial,0,128,2,0.006718389,0.000052487,0.000001403,0.000089418,1
warmup,50,50,binomial,0,128,2,0.007262578,0.000056739,0.000010089,0.000087343,1
warmup,51,51,binomial,0,128,2,0.007046406,0.000055050,0.000003436,0.000083948,1
warmup,52,52,binomial,0,128,2,0.007361461,0.000057511,0.000007574,0.000081934,1
warmup,53,53,binomial,0,128,2,0.006406783,0.000050053,0.000003367,0.000082323,1
warmup,54,54,binomial,0,128,2,0.007514538,0.000058707,0.000010540,0.000083617,1
warmup,55,55,binomial,0,128,2,0.006377958,0.000049828,0.000002004,0.000085991,1
warmup,56,56,binomial,0,128,2,0.007812643,0.000061036,0.000003847,0.000090780,1
warmup,57,57,binomial,0,128,2,0.007243302,0.000056588,0.000003487,0.000085881,1
warmup,58,58,binomial,0,128,2,0.007785453,0.000060824,0.000005260,0.000089919,1
warmup,59,59,binomial,0,128,2,0.006795600,0.000053091,0.000003597,0.000078727,1
warmup,60,60,binomial,0,128,2,0.007113359,0.000055573,0.000009107,0.000080131,1
warmup,61,61,binomial,0,128,2,0.006712244,0.000052439,0.000001984,0.000084879,1
warmup,62,62,binomial,0,128,2,0.007459582,0.000058278,0.000005330,0.000095470,1
