phase,phase_iteration,global_iteration,algorithm,root,nproc,message_size_bytes,time_sum_sec,avg_latency_sec,min_time_sec,max_time_sec,correct
warmup,0,0,tree,0,128,2,0.096950611,0.000757427,0.000021220,0.001858811,1
warmup,1,1,tree,0,128,2,0.014229115,0.000111165,0.000001443,0.000207509,1
warmup,2,2,tree,0,128,2,0.021880899,0.000170945,0.000001262,0.001242233,1
warmup,3,3,tree,0,128,2,0.015012760,0.000117287,0.000001132,0.000207076,1
warmup,4,4,tree,0,128,2,0.014091755,0.000110092,0.000002364,0.000209023,1
warmup,5,5,tree,0,128,2,0.013338787,0.000104209,0.000001162,0.000238788,1
warmup,6,6,tree,0,128,2,0.012758578,0.000099676,0.000001132,0.000184967,1
warmup,7,7,tree,0,128,2,0.012983907,0.000101437,0.000001112,0.000183514,1
warmup,8,8,tree,0,128,2,0.013654660,0.000106677,0.000001192,0.000189775,1
warmup,9,9,tree,0,128,2,0.012151283,0.000094932,0.000001001,0.000169979,1
warmup,10,10,tree,0,128,2,0.012493647,0.000097607,0.000001032,0.000185667,1
warmup,11,11,tree,0,128,2,0.011680165,0.000091251,0.000001152,0.000154698,1
warmup,12,12,tree,0,128,2,0.012987176,0.000101462,0.000001022,0.001297517,1
warmup,13,13,tree,0,128,2,0.011528812,0.000090069,0.000001022,0.000170329,1
warmup,14,14,tree,0,128,2,0.012065344,0.000094261,0.000001012,0.000176962,1
warmup,15,15,tree,0,128,2,0.012178846,0.000095147,0.000001083,0.000167703,1
warmup,16,16,tree,0,128,2,0.012132855,0.000094788,0.000001052,0.000169286,1
warmup,17,17,tree,0,128,2,0.014506449,0.000113332,0.000001132,0.000209914,1
warmup,18,18,tree,0,128,2,0.012450519,0.000097270,0.000001042,0.000164396,1
warmup,19,19,tree,0,128,2,0.011904643,0.000093005,0.000001052,0.000170828,1
warmup,20,20,tree,0,128,2,0.012116318,0.000094659,0.000001202,0.000188813,1
warmup,21,21,tree,0,128,2,0.011796694,0.000092162,0.000001032,0.000158287,1
warmup,22,22,tree,0,128,2,0.012330773,0.000096334,0.000001012,0.000164075,1
warmup,23,23,tree,0,128,2,0.012274658,0.000095896,0.000001182,0.000157153,1
warmup,24,24,tree,0,128,2,0.012713828,0.000099327,0.000001002,0.000183222,1
warmup,25,25,tree,0,128,2,0.013671456,0.000106808,0.000001112,0.001271975,1
warmup,26,26,tree,0,128,2,0.012234768,0.000095584,0.000001192,0.000162633,1
warmup,27,27,tree,0,128,2,0.011940756,0.000093287,0.000001102,0.000163214,1
warmup,28,28,tree,0,128,2,0.012045368,0.000094104,0.000001092,0.000171559,1
warmup,29,29,tree,0,128,2,0.011639815,0.000090936,0.000000981,0.000166480,1
warmup,30,30,tree,0,128,2,0.012177141,0.000095134,0.000001092,0.000198261,1
warmup,31,31,tree,0,128,2,0.011704215,0.000091439,0.000001082,0.000158876,1
warmup,32,32,tree,0,128,2,0.011779762,0.000092029,0.000001223,0.000151102,1
warmup,33,33,tree,0,128,2,0.011644336,0.000090971,0.000001232,0.000150061,1
warmup,34,34,tree,0,128,2,0.012471070,0.000097430,0.000001052,0.000167474,1
warmup,35,35,tree,0,128,2,0.011948756,0.000093350,0.000001022,0.000169378,1
warmup,36,36,tree,0,128,2,0.012047659,0.000094122,0.000001142,0.000172503,1
warmup,37,37,tree,0,128,2,0.011730015,0.000091641,0.000001052,0.000158075,1
warmup,38,38,tree,0,128,2,0.012395533,0.000096840,0.000001022,0.000183735,1
warmup,39,39,tree,0,128,2,0.012021464,0.000093918,0.000000992,0.000155129,1
warmup,40,40,tree,0,128,2,0.012923172,0.000100962,0.000001082,0.000172962,1
warmup,41,41,tree,0,128,2,0.011882207,0.000092830,0.000001122,0.000159578,1
warmup,42,42,tree,0,128,2,0.011630485,0.000090863,0.000001022,0.000150282,1
warmup,43,43,tree,0,128,2,0.011784958,0.000092070,0.000001002,0.000154308,1
warmup,44,44,tree,0,128,2,0.012366751,0.000096615,0.000001022,0.000160249,1
warmup,45,45,tree,0,128,2,0.012585797,0.000098327,0.000000882,0.000188514,1
warmup,46,46,tree,0,128,2,0.012084125,0.000094407,0.000000992,0.000144241,1
warmup,47,47,tree,0,128,2,0.012023806,0.000093936,0.000001052,0.000182562,1
warmup,48,48,tree,0,128,2,0.011867985,0.000092719,0.000001022,0.000154991,1
warmup,49,49,tree,0,128,2,0.012441335,0.000097198,0.000001203,0.000167411,1
warmup,50,50,tree,0,128,2,0.012309030,0.000096164,0.000001062,0.000194183,1
warmup,51,51,tree,0,128,2,0.011894866,0.000092929,0.000001002,0.000158736,1
warmup,52,52,tree,0,128,2,0.012691199,0.000099150,0.000001082,0.000234680,1
warmup,53,53,tree,0,128,2,0.011531660,0.000090091,0.000001002,0.000153117,1
warmup,54,54,tree,0,128,2,0.012294254,0.000096049,0.000000992,0.000161191,1
warmup,55,55,tree,0,128,2,0.012802713,0.000100021,0.000000962,0.000189044,1
warmup,56,56,tree,0,128,2,0.012052638,0.000094161,0.000000992,0.000165670,1
