phase,phase_iteration,global_iteration,algorithm,root,nproc,message_size_bytes,time_sum_sec,avg_latency_sec,min_time_sec,max_time_sec,correct
warmup,0,0,nb,0,256,2,0.083801447,0.000327349,0.000084518,0.000568959,1
warmup,1,1,nb,0,256,2,0.019380525,0.000075705,0.000007915,0.000134292,1
warmup,2,2,nb,0,256,2,0.022023945,0.000086031,0.000010900,0.000140273,1
warmup,3,3,nb,0,256,2,0.018224227,0.000071188,0.000008656,0.000125474,1
warmup,4,4,nb,0,256,2,0.019102361,0.000074619,0.000009327,0.000135344,1
warmup,5,5,nb,0,256,2,0.018042018,0.000070477,0.000003276,0.000190999,1
warmup,6,6,nb,0,256,2,0.020235755,0.000079046,0.000008055,0.000147046,1
warmup,7,7,nb,0,256,2,0.018838026,0.000073586,0.000003266,0.000128720,1
warmup,8,8,nb,0,256,2,0.018739046,0.000073199,0.000008416,0.000123671,1
warmup,9,9,nb,0,256,2,0.017453134,0.000068176,0.000004248,0.000108743,1
warmup,10,10,nb,0,256,2,0.020304574,0.000079315,0.000006983,0.000129682,1
warmup,11,11,nb,0,256,2,0.018171743,0.000070983,0.000003276,0.000125083,1
warmup,12,12,nb,0,256,2,0.018231487,0.000071217,0.000004589,0.000127067,1
warmup,13,13,nb,0,256,2,0.018616784,0.000072722,0.000004118,0.000130464,1
warmup,14,14,nb,0,256,2,0.017888074,0.000069875,0.000003226,0.000117731,1
warmup,15,15,nb,0,256,2,0.020318223,0.000079368,0.000003005,0.000135673,1
warmup,16,16,nb,0,256,2,0.017779517,0.000069451,0.000003076,0.000117419,1
warmup,17,17,nb,0,256,2,0.017893895,0.000069898,0.000004368,0.000114675,1
warmup,18,18,nb,0,256,2,0.020228707,0.000079018,0.000003166,0.000130855,1
warmup,19,19,nb,0,256,2,0.018953145,0.000074036,0.000004638,0.000125254,1
warmup,20,20,nb,0,256,2,0.017873531,0.000069818,0.000003196,0.000143339,1
warmup,21,21,nb,0,256,2,0.018544572,0.000072440,0.000004428,0.000120224,1
warmup,22,22,nb,0,256,2,0.019844312,0.000077517,0.000003026,0.000128500,1
warmup,23,23,nb,0,256,2,0.020285381,0.000079240,0.000006933,0.000128509,1
warmup,24,24,nb,0,256,2,0.017437079,0.000068114,0.000003206,0.000115366,1
warmup,25,25,nb,0,256,2,0.017913257,0.000069974,0.000004007,0.000129061,1
warmup,26,26,nb,0,256,2,0.020413253,0.000079739,0.000003106,0.000130033,1
warmup,27,27,nb,0,256,2,0.017913718,0.000069975,0.000004699,0.000132307,1
warmup,28,28,nb,0,256,2,0.017568240,0.000068626,0.000003517,0.000114925,1
warmup,29,29,nb,0,256,2,0.017893518,0.000069897,0.000004909,0.000125384,1
warmup,30,30,nb,0,256,2,0.018963554,0.000074076,0.000003046,0.000123891,1
warmup,31,31,nb,0,256,2,0.018165625,0.000070959,0.000003948,0.000122769,1
warmup,32,32,nb,0,256,2,0.017034000,0.000066539,0.000003065,0.000110045,1
warmup,33,33,nb,0,256,2,0.018215453,0.000071154,0.000004037,0.000122919,1
warmup,34,34,nb,0,256,2,0.020108790,0.000078550,0.000004369,0.000130553,1
warmup,35,35,nb,0,256,2,0.018225108,0.000071192,0.000004348,0.000121557,1
warmup,36,36,nb,0,256,2,0.016400153,0.000064063,0.000003126,0.000108392,1
warmup,37,37,nb,0,256,2,0.018693554,0.000073022,0.000004448,0.000136545,1
warmup,38,38,nb,0,256,2,0.017053975,0.000066617,0.000003116,0.000120264,1
warmup,39,39,nb,0,256,2,0.018508595,0.000072299,0.000004319,0.000122719,1
warmup,40,40,nb,0,256,2,0.018667280,0.000072919,0.000002965,0.000131215,1
warmup,41,41,nb,0,256,2,0.018271087,0.000071371,0.000003988,0.000124082,1
warmup,42,42,nb,0,256,2,0.018550349,0.000072462,0.000003065,0.000125133,1
warmup,43,43,nb,0,256,2,0.017972462,0.000070205,0.000004318,0.000123120,1
warmup,44,44,nb,0,256,2,0.018728547,0.000073158,0.000002995,0.000121457,1
warmup,45,45,nb,0,256,2,0.020326552,0.000079401,0.000008796,0.000134140,1
warmup,46,46,nb,0,256,2,0.018942460,0.000073994,0.000003016,0.000121468,1
warmup,47,47,nb,0,256,2,0.018649175,0.000072848,0.000004238,0.000127327,1
warmup,48,48,nb,0,256,2,0.017053024,0.000066613,0.000002966,0.000120124,1
warmup,49,49,nb,0,256,2,0.018595333,0.000072638,0.000003907,0.000126085,1
warmup,50,50,nb,0,256,2,0.017414493,0.000068025,0.000002995,0.000119563,1
warmup,51,51,nb,0,256,2,0.018845856,0.000073617,0.000004228,0.000127308,1
warmup,52,52,nb,0,256,2,0.017518267,0.000068431,0.000002925,0.000124042,1
warmup,53,53,nb,0,256,2,0.018017584,0.000070381,0.000003887,0.000124242,1
warmup,54,54,nb,0,256,2,0.017551527,0.000068561,0.000003206,0.000110616,1
warmup,55,55,nb,0,256,2,0.019454279,0.000075993,0.000004027,0.000125074,1
warmup,56,56,nb,0,256,2,0.016214391,0.000063337,0.000003056,0.000110176,1
warmup,57,57,nb,0,256,2,0.019189510,0.000074959,0.000006753,0.000123650,1
warmup,58,58,nb,0,256,2,0.015649842,0.000061132,0.000003086,0.000108222,1
warmup,59,59,nb,0,256,2,0.017991554,0.000070280,0.000004458,0.000123391,1
warmup,60,60,nb,0,256,2,0.019484448,0.000076111,0.000002956,0.000129332,1
warmup,61,61,nb,0,256,2,0.017744952,0.000069316,0.000004579,0.000121006,1
warmup,62,62,nb,0,256,2,0.017951483,0.000070123,0.000003066,0.000127077,1
warmup,63,63,nb,0,256,2,0.017746549,0.000069322,0.000004268,0.000126506,1
warmup,64,64,nb,0,256,2,0.017892368,0.000069892,0.000003075,0.000121697,1
warmup,65,65,nb,0,256,2,0.019457889,0.000076007,0.000004278,0.000128309,1
warmup,66,66,nb,0,256,2,0.017782216,0.000069462,0.000003045,0.000113823,1
warmup,67,67,nb,0,256,2,0.017849781,0.000069726,0.000003887,0.000123641,1
warmup,68,68,nb,0,256,2,0.018177820,0.000071007,0.000003055,0.000125334,1
warmup,69,69,nb,0,256,2,0.018049555,0.000070506,0.000003125,0.000127619,1
warmup,70,70,nb,0,256,2,0.017979957,0.000070234,0.000003056,0.000120276,1
warmup,71,71,nb,0,256,2,0.019257015,0.000075223,0.000004308,0.000125404,1
warmup,72,72,nb,0,256,2,0.018039742,0.000070468,0.000003336,0.000127057,1
warmup,73,73,nb,0,256,2,0.018368486,0.000071752,0.000006282,0.000122869,1
warmup,74,74,nb,0,256,2,0.017702586,0.000069151,0.000003055,0.000112390,1
warmup,75,75,nb,0,256,2,0.018456719,0.000072097,0.000003376,0.000123260,1
warmup,76,76,nb,0,256,2,0.017342691,0.000067745,0.000002955,0.000121347,1
warmup,77,77,nb,0,256,2,0.016588725,0.000064800,0.000003146,0.000122869,1
warmup,78,78,nb,0,256,2,0.017800464,0.000069533,0.000003045,0.000120014,1
warmup,79,79,nb,0,256,2,0.019380552,0.000075705,0.000003938,0.000125695,1
warmup,80,80,nb,0,256,2,0.018402261,0.000071884,0.000003006,0.000126767,1
warmup,81,81,nb,0,256,2,0.018111795,0.000070749,0.000003947,0.000123822,1
warmup,82,82,nb,0,256,2,0.017199294,0.000067185,0.000003186,0.000119423,1
warmup,83,83,nb,0,256,2,0.018288513,0.000071440,0.000004458,0.000122569,1
warmup,84,84,nb,0,256,2,0.016118993,0.000062965,0.000002935,0.000111629,1
warmup,85,85,nb,0,256,2,0.022004674,0.000085956,0.000006472,0.000136255,1
warmup,86,86,nb,0,256,2,0.017178450,0.000067103,0.000003065,0.000110907,1
warmup,87,87,nb,0,256,2,0.019199030,0.000074996,0.000004258,0.000122920,1
warmup,88,88,nb,0,256,2,0.018047176,0.000070497,0.000003456,0.000124763,1
warmup,89,89,nb,0,256,2,0.019544967,0.000076348,0.000004268,0.000136475,1
warmup,90,90,nb,0,256,2,0.018727862,0.000073156,0.000003196,0.000125174,1
warmup,91,91,nb,0,256,2,0.017463772,0.000068218,0.000003837,0.000120725,1
warmup,92,92,nb,0,256,2,0.016765121,0.000065489,0.000003086,0.000115305,1
