partition,ppn,nproc,estimated_nodes,last_node_ranks,message_size_bytes,optimal_algorithm,optimal_predicted_time_sec,predicted_time_sec__binomial,predicted_time_sec__circ_graph,predicted_time_sec__nb,predicted_time_sec__pipelined_tree,predicted_time_sec__scatter_recursive_doubling_allgather,predicted_time_sec__scatter_ring_allgather,predicted_time_sec__tree
multinode,4,8,2,4,2,circ_graph,2.2057796966056082e-05,2.4295816620249246e-05,2.2057796966056082e-05,2.4880165294409876e-05,3.544364360907333e-05,5.247027352478619e-05,9.042850609130329e-05,3.3798549005221734e-05
multinode,4,8,2,4,3,circ_graph,2.2057796966056082e-05,2.4295816620249246e-05,2.2057796966056082e-05,2.4880165294409876e-05,3.544364360907333e-05,5.247027352478619e-05,9.042850609130329e-05,3.3798549005221734e-05
multinode,4,8,2,4,4,circ_graph,2.2057796966056082e-05,2.4318516818934064e-05,2.2057796966056082e-05,2.491559952726252e-05,3.544364360907333e-05,5.246392100780921e-05,9.042850609130329e-05,3.3798549005221734e-05
multinode,4,8,2,4,6,circ_graph,2.2057796966056082e-05,2.431382718006672e-05,2.2057796966056082e-05,2.491358727412944e-05,3.544364360907333e-05,5.5241020073992275e-05,9.049207062217197e-05,3.3798549005221734e-05
multinode,4,8,2,4,8,circ_graph,2.2057796966056082e-05,2.4347850954681796e-05,2.2057796966056082e-05,2.4914616246831314e-05,3.549229182654732e-05,5.702577682732848e-05,9.151879901714848e-05,3.379843192226914e-05
multinode,4,8,2,4,12,circ_graph,2.2050888637112223e-05,2.4397654496567058e-05,2.2050888637112223e-05,2.517271009289335e-05,3.5513502212290895e-05,5.9079922519828074e-05,9.277697914369346e-05,3.38041890388366e-05
multinode,4,8,2,4,16,circ_graph,2.2059553229213986e-05,2.4407113778623627e-05,2.2059553229213986e-05,2.523587879031005e-05,3.553024070016903e-05,5.937453313586382e-05,9.631525859459088e-05,3.380521862804717e-05
multinode,4,8,2,4,24,circ_graph,2.2086273254472023e-05,2.4473996185032445e-05,2.2086273254472023e-05,2.6115919435183316e-05,3.552068585463306e-05,5.986869388134379e-05,9.957028529232493e-05,3.386160057847485e-05
multinode,4,8,2,4,32,circ_graph,2.2167266591684e-05,2.449710236857025e-05,2.2167266591684e-05,2.6219155131245043e-05,3.563046079567863e-05,6.0056672433976586e-05,0.00010047166412382494,3.399070676746655e-05
multinode,4,8,2,4,48,circ_graph,2.2167266591684e-05,2.4461627052838905e-05,2.2167266591684e-05,2.6299262667717346e-05,3.562970220341132e-05,6.021070101322921e-05,0.00010102341321112379,3.4351488679614824e-05
multinode,4,8,2,4,64,circ_graph,2.2191660538975033e-05,2.431836435214826e-05,2.2191660538975033e-05,2.6456978784351294e-05,3.562970220341132e-05,6.041322869309031e-05,0.0001010341816475357,3.4380925550139656e-05
multinode,4,8,2,4,96,circ_graph,2.2263422221269635e-05,2.431473189043924e-05,2.2263422221269635e-05,2.653128966501675e-05,3.562970220341132e-05,6.061884133904181e-05,0.00010203545051212684,3.439321135965446e-05
multinode,4,8,2,4,128,circ_graph,2.2414548601233752e-05,2.4484858737624617e-05,2.2414548601233752e-05,2.6666116449873234e-05,3.577005067673282e-05,6.0901957859772685e-05,0.00010279663862983589,3.4440484640859605e-05
multinode,4,8,2,4,192,circ_graph,2.2985342112876244e-05,2.498057015207208e-05,2.2985342112876244e-05,2.7065048228785212e-05,3.62375621906021e-05,6.26392181465678e-05,0.00010512980739658122,3.47324131172748e-05
multinode,4,8,2,4,256,nb,3.98977235795636e-05,4.45086891109534e-05,4.600677948280741e-05,3.98977235795636e-05,4.9900122107092734e-05,7.805846848013625e-05,0.00010802395525869577,4.5999502483925126e-05
multinode,4,8,2,4,384,nb,4.012924388579968e-05,4.485770248300104e-05,4.642816708637129e-05,4.012924388579968e-05,4.999899962652331e-05,8.16473346878675e-05,0.00011313511991904566,4.6235226536731885e-05
multinode,4,8,2,4,512,nb,3.953190659412571e-05,4.448048686543339e-05,4.6011062315121295e-05,3.953190659412571e-05,4.9968103123905215e-05,8.60017933665319e-05,0.0001161935765431891,4.5813555425155375e-05
multinode,4,8,2,4,768,nb,3.919442487923963e-05,4.4483451562470976e-05,4.597926418595336e-05,3.919442487923963e-05,5.0269493920388485e-05,9.556928505437448e-05,0.0001235800540757158,4.5801183745257546e-05
multinode,4,8,2,4,1024,nb,4.1460451678239366e-05,5.2250467706928955e-05,5.405621806037253e-05,4.1460451678239366e-05,5.99742157232559e-05,0.00011276209169924333,0.00012596558764126268,5.464762849556222e-05
multinode,4,8,2,4,1536,nb,4.16518786848886e-05,5.195283261862701e-05,5.38103791255911e-05,4.16518786848886e-05,6.007169016724991e-05,0.00011813744768910311,0.0001393934066040701,5.44305032297232e-05
multinode,4,8,2,4,2048,nb,4.185277184782089e-05,5.19320261134534e-05,5.372035138442632e-05,4.185277184782089e-05,6.0193855570446905e-05,0.00012190171976227983,0.00018609124878813326,5.436758227648228e-05
