partition,ppn,nproc,estimated_nodes,last_node_ranks,message_size_bytes,optimal_algorithm,optimal_predicted_time_sec,predicted_time_sec__binomial,predicted_time_sec__circ_graph,predicted_time_sec__nb,predicted_time_sec__pipelined_tree,predicted_time_sec__release_gather,predicted_time_sec__scatter_recursive_doubling_allgather,predicted_time_sec__scatter_ring_allgather,predicted_time_sec__tree
single_node,4,4,1,4,2,release_gather,8.377724035636518e-07,3.6292099385158907e-06,1.3962200900190742e-06,4.293280549168289e-06,3.2658358455381476e-06,8.377724035636518e-07,7.139672743619537e-06,8.597761086555082e-06,3.2790738410582144e-06
single_node,4,4,1,4,3,release_gather,8.377724035636518e-07,3.6292099385158907e-06,1.3962200900190742e-06,4.293280549168289e-06,3.2658358455381476e-06,8.377724035636518e-07,7.139672743619537e-06,8.597761086555082e-06,3.2790738410582144e-06
single_node,4,4,1,4,4,release_gather,8.373555391899726e-07,3.629626979325664e-06,1.3962200900190742e-06,4.293280549168289e-06,3.2658358455381476e-06,8.373555391899726e-07,7.139672743619537e-06,8.597761086555082e-06,3.2794506469286793e-06
single_node,4,4,1,4,6,release_gather,8.388449902058834e-07,3.551775049425803e-06,1.3962200900190742e-06,4.297142955324321e-06,3.259992886924307e-06,8.388449902058834e-07,7.245944350760557e-06,8.597761086555082e-06,3.2429228271425406e-06
single_node,4,4,1,4,8,release_gather,8.398575121051885e-07,3.3339032066903085e-06,1.3962200900190742e-06,4.297428090022456e-06,3.267168006868865e-06,8.398575121051885e-07,7.799758409026697e-06,8.597761086555082e-06,3.225543902924149e-06
single_node,4,4,1,4,12,release_gather,8.418725698237197e-07,3.160549851084654e-06,1.396690998110603e-06,4.305963030472541e-06,3.331404892882394e-06,8.418725698237197e-07,8.249995731971728e-06,8.862217976124071e-06,3.27069910606464e-06
single_node,4,4,1,4,16,release_gather,8.440576682229963e-07,3.1311572798213597e-06,1.399958543151668e-06,4.335215310289148e-06,3.599284051993636e-06,8.440576682229963e-07,8.370144692448559e-06,8.898273899007496e-06,3.4774916413546915e-06
single_node,4,4,1,4,24,release_gather,8.470293576153308e-07,3.0771172259978263e-06,1.4072738254287487e-06,4.3501268369472035e-06,3.71458880357758e-06,8.470293576153308e-07,8.464753003895198e-06,9.137793406468777e-06,3.569791768804006e-06
single_node,4,4,1,4,32,release_gather,8.503836422544962e-07,3.0569418361248273e-06,1.4500823751295872e-06,4.3744964213801e-06,3.7391887632282526e-06,8.503836422544962e-07,8.483883169514808e-06,9.283353577346432e-06,3.5990425875552176e-06
single_node,4,4,1,4,48,release_gather,8.527573344322572e-07,3.0433828262164793e-06,1.6463688162127363e-06,4.431173479704841e-06,3.822072003793159e-06,8.527573344322572e-07,8.508131584292313e-06,9.438639779550139e-06,3.714962987102318e-06
