ppn,nproc,algorithm,message_size_bytes,median_avg_latency_sec,samples
32,32,binomial,2,4.652e-06,250
32,32,binomial,3,4.6565e-06,250
32,32,binomial,4,4.698e-06,250
32,32,binomial,6,4.7475e-06,250
32,32,binomial,8,4.7595e-06,250
32,32,binomial,12,4.7575e-06,250
32,32,binomial,16,4.753e-06,250
32,32,binomial,24,4.7585e-06,250
32,32,binomial,32,4.755e-06,250
32,32,binomial,48,4.913e-06,250
32,32,binomial,64,4.91e-06,250
32,32,binomial,96,4.919e-06,250
32,32,binomial,128,4.958e-06,250
32,32,binomial,192,5.017500000000001e-06,250
32,32,binomial,256,5.033000000000001e-06,250
32,32,binomial,384,5.0970000000000005e-06,250
32,32,binomial,512,5.1285e-06,250
32,32,binomial,768,5.243e-06,250
32,32,binomial,1024,5.355e-06,250
32,32,binomial,1536,5.6875e-06,250
32,32,binomial,2048,6.3165e-06,250
32,32,binomial,3072,6.921e-06,250
32,32,binomial,4096,7.3365e-06,250
32,32,binomial,6144,8.177e-06,250
32,32,binomial,8192,2.85995e-05,250
32,32,binomial,12288,3.04775e-05,250
32,32,binomial,16384,3.3699000000000004e-05,250
32,32,binomial,24576,3.8953000000000005e-05,250
32,32,binomial,32768,4.4439e-05,250
32,32,binomial,49152,5.53015e-05,250
32,32,binomial,65536,6.71425e-05,250
32,32,binomial,98304,8.88615e-05,250
32,32,binomial,131072,0.0001112405,250
32,32,binomial,196608,0.0001563445,250
32,32,binomial,262144,0.0002045095,250
32,32,binomial,393216,0.0002976315,250
32,32,binomial,524288,0.00038616050000000004,250
32,32,binomial,786432,0.0005490785,250
32,32,binomial,1048576,0.000695078,250
32,32,binomial,1572864,0.000949518,250
32,32,binomial,2097152,0.001199466,250
32,32,binomial,3145728,0.00167524,250
32,32,binomial,4194304,0.002137941,250
32,32,binomial,6291456,0.0031305995,250
32,32,binomial,8388608,0.004618039500000001,250
32,32,nb,2,6.4255e-06,250
32,32,nb,3,6.419e-06,250
32,32,nb,4,6.4305000000000005e-06,250
32,32,nb,6,6.429e-06,250
32,32,nb,8,6.4165e-06,250
32,32,nb,12,6.433e-06,250
32,32,nb,16,6.4305000000000005e-06,250
32,32,nb,24,6.425e-06,250
32,32,nb,32,6.432e-06,250
32,32,nb,48,6.499499999999999e-06,250
32,32,nb,64,6.486e-06,250
32,32,nb,96,6.4925e-06,250
32,32,nb,128,6.5605e-06,250
32,32,nb,192,6.623e-06,250
32,32,nb,256,6.618499999999999e-06,250
32,32,nb,384,6.684000000000001e-06,250
32,32,nb,512,6.742e-06,250
32,32,nb,768,6.857e-06,250
32,32,nb,1024,6.949e-06,250
32,32,nb,1536,7.1665e-06,250
32,32,nb,2048,7.5579999999999995e-06,250
32,32,nb,3072,8.3095e-06,250
32,32,nb,4096,8.9165e-06,250
32,32,nb,6144,9.926e-06,250
32,32,nb,8192,2.14105e-05,250
32,32,nb,12288,2.8143e-05,250
32,32,nb,16384,3.8006499999999996e-05,250
32,32,nb,24576,4.20915e-05,250
32,32,nb,32768,5.2553500000000004e-05,250
32,32,nb,49152,6.0708499999999997e-05,250
32,32,nb,65536,7.364e-05,250
32,32,nb,98304,9.31295e-05,250
32,32,nb,131072,0.0001228705,250
32,32,nb,196608,0.000164428,250
32,32,nb,262144,0.00021503,250
32,32,nb,393216,0.000300507,250
32,32,nb,524288,0.00042908,250
32,32,nb,786432,0.0005445595,250
32,32,nb,1048576,0.0006494700000000001,250
32,32,nb,1572864,0.0008474085,250
32,32,nb,2097152,0.0010048625000000002,250
32,32,nb,3145728,0.001390311,250
32,32,nb,4194304,0.0018165365,250
32,32,nb,6291456,0.002770903,250
32,32,nb,8388608,0.003845565,250
32,32,circ_graph,2,2.5905e-06,250
32,32,circ_graph,3,2.585e-06,250
32,32,circ_graph,4,2.593e-06,250
