ppn,nproc,algorithm,message_size_bytes,median_max_time_sec,samples
4,4,binomial,2,3.827e-06,250
4,4,binomial,3,3.847e-06,250
4,4,binomial,4,3.807e-06,250
4,4,binomial,6,3.797e-06,250
4,4,binomial,8,3.116e-06,250
4,4,binomial,12,3.076e-06,250
4,4,binomial,16,3.0055000000000003e-06,250
4,4,binomial,24,3.0005000000000003e-06,250
4,4,binomial,32,3.005e-06,250
4,4,binomial,48,3.006e-06,250
4,4,binomial,64,3.006e-06,250
4,4,binomial,96,2.986e-06,250
4,4,binomial,128,3.021e-06,250
4,4,binomial,192,3.065e-06,250
4,4,binomial,256,3.086e-06,250
4,4,binomial,384,3.1005000000000002e-06,250
4,4,binomial,512,3.186e-06,250
4,4,binomial,768,3.226e-06,250
4,4,binomial,1024,3.256e-06,250
4,4,binomial,1536,4.118e-06,250
4,4,binomial,2048,5.019e-06,250
4,4,binomial,3072,5.069e-06,250
4,4,binomial,4096,5.15e-06,250
4,4,binomial,6144,5.3705000000000005e-06,250
4,4,binomial,8192,1.3134e-05,250
4,4,binomial,12288,1.3204e-05,250
4,4,binomial,16384,1.4933000000000001e-05,250
4,4,binomial,24576,1.68665e-05,250
4,4,binomial,32768,1.95115e-05,250
4,4,binomial,49152,2.4776e-05,250
4,4,binomial,65536,3.0237e-05,250
4,4,binomial,98304,4.0125e-05,250
4,4,binomial,131072,5.0004e-05,250
4,4,binomial,196608,7.1484e-05,250
4,4,binomial,262144,9.147699999999999e-05,250
4,4,binomial,393216,0.00013330550000000002,250
4,4,binomial,524288,0.000173741,250
4,4,binomial,786432,0.00025770899999999995,250
4,4,binomial,1048576,0.00034142600000000003,250
4,4,binomial,1572864,0.00047484649999999997,250
4,4,binomial,2097152,0.0005766479999999999,250
4,4,binomial,3145728,0.000757828,250
4,4,binomial,4194304,0.0009385579999999999,250
4,4,binomial,6291456,0.0013224645,250
4,4,binomial,8388608,0.0017019165,250
4,4,binomial,12582912,0.002460842,250
4,4,binomial,16777216,0.003315773,250
4,4,binomial,25165824,0.0049251585,250
4,4,binomial,33554432,0.006743684,250
4,4,circ_graph,2,1.4025000000000001e-06,250
4,4,circ_graph,3,1.393e-06,250
4,4,circ_graph,4,1.3675e-06,250
4,4,circ_graph,6,1.382e-06,250
4,4,circ_graph,8,1.383e-06,250
4,4,circ_graph,12,1.3824999999999999e-06,250
4,4,circ_graph,16,1.373e-06,250
4,4,circ_graph,24,1.383e-06,250
4,4,circ_graph,32,1.433e-06,250
4,4,circ_graph,48,1.693e-06,250
4,4,circ_graph,64,1.693e-06,250
4,4,circ_graph,96,1.673e-06,250
4,4,circ_graph,128,1.603e-06,250
4,4,circ_graph,192,1.703e-06,250
4,4,circ_graph,256,1.724e-06,250
4,4,circ_graph,384,1.853e-06,250
4,4,circ_graph,512,1.983e-06,250
4,4,circ_graph,768,2.104e-06,250
4,4,circ_graph,1024,2.1695e-06,250
4,4,circ_graph,1536,2.2745e-06,250
4,4,circ_graph,2048,2.455e-06,250
4,4,circ_graph,3072,2.856e-06,250
4,4,circ_graph,4096,3.2609999999999998e-06,250
4,4,circ_graph,6144,4.1075e-06,250
4,4,circ_graph,8192,1.0059e-05,250
