phase,phase_iteration,global_iteration,algorithm,root,nproc,message_size_bytes,time_sum_sec,avg_latency_sec,min_time_sec,max_time_sec,correct
warmup,0,0,auto,0,512,2,0.237767894,0.000464390,0.000017362,0.000961309,1
warmup,1,1,auto,0,512,2,0.060819954,0.000118789,0.000006873,0.000177713,1
warmup,2,2,auto,0,512,2,0.059282368,0.000115786,0.000009027,0.000181040,1
warmup,3,3,auto,0,512,2,0.053499412,0.000104491,0.000002795,0.000169648,1
warmup,4,4,auto,0,512,2,0.060005759,0.000117199,0.000002946,0.000205356,1
warmup,5,5,auto,0,512,2,0.054917086,0.000107260,0.000006392,0.000180870,1
warmup,6,6,auto,0,512,2,0.063386442,0.000123802,0.000015159,0.000205967,1
warmup,7,7,auto,0,512,2,0.053971048,0.000105412,0.000003236,0.000172795,1
warmup,8,8,auto,0,512,2,0.055403703,0.000108210,0.000004729,0.000174799,1
warmup,9,9,auto,0,512,2,0.054714060,0.000106863,0.000006352,0.000174437,1
warmup,10,10,auto,0,512,2,0.059356435,0.000115931,0.000006673,0.000189336,1
warmup,11,11,auto,0,512,2,0.051611581,0.000100804,0.000003146,0.000195787,1
warmup,12,12,auto,0,512,2,0.061520389,0.000120157,0.000009047,0.000192061,1
warmup,13,13,auto,0,512,2,0.058138920,0.000113553,0.000003186,0.000189296,1
warmup,14,14,auto,0,512,2,0.054716645,0.000106868,0.000010430,0.000171934,1
warmup,15,15,auto,0,512,2,0.055968417,0.000109313,0.000003076,0.000159509,1
warmup,16,16,auto,0,512,2,0.053440514,0.000104376,0.000006462,0.000172894,1
warmup,17,17,auto,0,512,2,0.058555720,0.000114367,0.000008305,0.000173897,1
warmup,18,18,auto,0,512,2,0.055145803,0.000107707,0.000002866,0.000165902,1
warmup,19,19,auto,0,512,2,0.049738470,0.000097145,0.000003006,0.000159819,1
warmup,20,20,auto,0,512,2,0.054383440,0.000106218,0.000002906,0.000221395,1
warmup,21,21,auto,0,512,2,0.053186266,0.000103879,0.000010560,0.000159570,1
warmup,22,22,auto,0,512,2,0.057875308,0.000113038,0.000011892,0.000172374,1
warmup,23,23,auto,0,512,2,0.057066709,0.000111458,0.000003056,0.000167946,1
warmup,24,24,auto,0,512,2,0.051450063,0.000100488,0.000001924,0.000172635,1
warmup,25,25,auto,0,512,2,0.050389938,0.000098418,0.000001653,0.000161494,1
warmup,26,26,auto,0,512,2,0.053044978,0.000103603,0.000011231,0.000162927,1
warmup,27,27,auto,0,512,2,0.050846418,0.000099309,0.000001864,0.000165010,1
