phase,phase_iteration,global_iteration,algorithm,cvar_value,root,nproc,message_size_bytes,time_sum_sec,avg_latency_sec,min_time_sec,max_time_sec,correct
warmup,0,0,binomial,1,0,256,2,0.468927981,0.001831750,0.000070713,0.004221651,1
warmup,1,1,binomial,1,0,256,2,0.025568426,0.000099877,0.000005280,0.000156766,1
warmup,2,2,binomial,1,0,256,2,0.030018165,0.000117258,0.000008506,0.000192321,1
warmup,3,3,binomial,1,0,256,2,0.022307033,0.000087137,0.000003316,0.000132860,1
warmup,4,4,binomial,1,0,256,2,0.024837542,0.000097022,0.000005701,0.000143810,1
warmup,5,5,binomial,1,0,256,2,0.028642710,0.000111886,0.000005100,0.000194105,1
warmup,6,6,binomial,1,0,256,2,0.021583431,0.000084310,0.000004629,0.000157977,1
warmup,7,7,binomial,1,0,256,2,0.022324343,0.000087204,0.000003136,0.000139462,1
warmup,8,8,binomial,1,0,256,2,0.016848457,0.000065814,0.000004729,0.000120947,1
warmup,9,9,binomial,1,0,256,2,0.024470445,0.000095588,0.000003196,0.000163887,1
warmup,10,10,binomial,1,0,256,2,0.018895561,0.000073811,0.000004619,0.000140453,1
warmup,11,11,binomial,1,0,256,2,0.024569343,0.000095974,0.000003386,0.000169598,1
warmup,12,12,binomial,1,0,256,2,0.020919061,0.000081715,0.000004870,0.000145643,1
warmup,13,13,binomial,1,0,256,2,0.023328797,0.000091128,0.000003246,0.000163527,1
warmup,14,14,binomial,1,0,256,2,0.020528045,0.000080188,0.000004639,0.000142999,1
warmup,15,15,binomial,1,0,256,2,0.023803939,0.000092984,0.000003166,0.000150071,1
warmup,16,16,binomial,1,0,256,2,0.018644175,0.000072829,0.000004819,0.000126287,1
warmup,17,17,binomial,1,0,256,2,0.025132572,0.000098174,0.000002024,0.000155281,1
warmup,18,18,binomial,1,0,256,2,0.018295593,0.000071467,0.000004488,0.000130114,1
warmup,19,19,binomial,1,0,256,2,0.024186007,0.000094477,0.000004729,0.000157756,1
warmup,20,20,binomial,1,0,256,2,0.016086354,0.000062837,0.000004659,0.000121127,1
warmup,21,21,binomial,1,0,256,2,0.025971479,0.000101451,0.000004739,0.000167985,1
warmup,22,22,binomial,1,0,256,2,0.018667886,0.000072921,0.000004559,0.000134683,1
warmup,23,23,binomial,1,0,256,2,0.022512378,0.000087939,0.000003005,0.000155292,1
